Ans	Guess	Size	DistRatio	Dist	I	J
0	0	654	0.668196	437	10713587.cs	49_38a.cpp
0	0	480.5	1.04266	501	10713587.cs	639_536.cpp
0	0	475.5	1.08307	515	10713587.cs	91_a1.cpp
0	0	475.5	1.08307	515	10713587.cs	9l_3_2dEd.cpp
0	0	657.5	0.66616	438	10713587.cs	t61_31.cpp
0	0	438.5	0.916762	402	49_38a.cpp	639_536.cpp
0	0	433.5	0.93887	407	49_38a.cpp	91_a1.cpp
0	0	433.5	0.93887	407	49_38a.cpp	9l_3_2dEd.cpp
1	1	615.5	0.0113729	7	49_38a.cpp	t61_31.cpp
0	0	260	0.469231	122	639_536.cpp	91_a1.cpp
0	0	260	0.469231	122	639_536.cpp	9l_3_2dEd.cpp
0	0	442	0.923077	408	639_536.cpp	t61_31.cpp
1	1	255	0	0	91_a1.cpp	9l_3_2dEd.cpp
0	0	437	0.947368	414	91_a1.cpp	t61_31.cpp
0	0	437	0.947368	414	9l_3_2dEd.cpp	t61_31.cpp
