Ans	Guess	Size	DistRatio	Dist	I	J
0	0	649.5	0.669746	435	10713587.cs	49_38a.cpp
0	0	476	1.03992	495	10713587.cs	639_536.cpp
0	0	472	1.07839	509	10713587.cs	91_a1.cpp
0	0	472	1.07839	509	10713587.cs	9l_3_2dEd.cpp
0	0	653	0.661562	432	10713587.cs	t61_31.cpp
0	0	436.5	0.918671	401	49_38a.cpp	639_536.cpp
0	0	432.5	0.936416	405	49_38a.cpp	91_a1.cpp
0	0	432.5	0.936416	405	49_38a.cpp	9l_3_2dEd.cpp
1	1	613.5	0.0114099	7	49_38a.cpp	t61_31.cpp
0	0	259	0.474903	123	639_536.cpp	91_a1.cpp
0	0	259	0.474903	123	639_536.cpp	9l_3_2dEd.cpp
1	1	255	0	0	91_a1.cpp	9l_3_2dEd.cpp
1	1	524.5	0.013346	7	1.cpp	3.cpp
0	0	466	0.572961	267	1.cpp	3.pas
1	1	524.5	0.013346	7	1.cpp	4.cpp
0	0	403	0.831266	335	1.cpp	5.cpp
0	0	466	0.575107	268	1.cpp	5.pas
0	0	394	0.873096	344	1.cpp	9.cpp
0	0	348	0.718391	250	3.pas	5.cpp
1	1	411	0.00973236	4	3.pas	5.pas
0	0	339	0.764012	259	3.pas	9.cpp
0	0	276	0.565217	156	5.cpp	9.cpp
0	0	389	0.714653	278	t10073_522_C_10202197.java	t8417_522_C_10205445.cpp
0	0	405	0.711111	288	t10073_522_C_10202197.java	t8732_522_C_10206747.cpp
0	0	478	0.615063	294	t10073_522_C_10202197.java	t9059_522_C_10195249.cpp
0	0	456	0.594298	271	t10073_522_C_10202197.java	t9280_522_C_10196320.cpp
0	0	399	0.651629	260	t10073_522_C_10202197.java	t9328_522_C_10194423.cpp
0	0	389	0.714653	278	t10073_522_C_10202197.java	t9991_522_C_10194984.cpp
0	0	314	0.640127	201	t8417_522_C_10205445.cpp	t8732_522_C_10206747.cpp
0	0	387	0.757106	293	t8417_522_C_10205445.cpp	t9059_522_C_10195249.cpp
0	0	365	0.665753	243	t8417_522_C_10205445.cpp	t9280_522_C_10196320.cpp
