Ans	Guess	Size	DistRatio	Dist	I	J
0	0	396	0.611111	242	u1024_241_C_2483169.cpp	u1036_241_C_2482674.c
0	0	440	0.529545	233	u1024_241_C_2483169.cpp	u10453_241_C_2486641.cpp
0	0	429.5	0.523865	225	u1024_241_C_2483169.cpp	u1050_241_C_2481453.cpp
0	0	430	0.532558	229	u1024_241_C_2483169.cpp	u10964_241_C_2486263.cpp
0	0	356	0.682584	243	u1024_241_C_2483169.cpp	u1111_241_C_2484080.cpp
0	0	415	0.489157	203	u1024_241_C_2483169.cpp	u111_241_C_2480853.cpp
0	0	370.5	0.642375	238	u1024_241_C_2483169.cpp	u11492_241_C_2486183.cpp
0	0	385	0.571429	220	u1024_241_C_2483169.cpp	u1183_241_C_2482043.cpp
0	0	401.5	0.483188	194	u1024_241_C_2483169.cpp	u12597_241_C_2485399.cpp
0	0	390.5	0.501921	196	u1024_241_C_2483169.cpp	u13092_241_C_2485286.cpp
0	0	412.5	0.526061	217	u1024_241_C_2483169.cpp	u13093_241_C_2483366.cpp
0	0	430.5	0.571429	246	u1024_241_C_2483169.cpp	u13373_241_C_2485955.cpp
0	0	483.5	0.59152	286	u1024_241_C_2483169.cpp	u14042_241_C_2484533.cpp
0	0	496	0.602823	299	u1024_241_C_2483169.cpp	u152_241_C_2484443.cpp
0	0	448	0.526786	236	u1024_241_C_2483169.cpp	u16933_241_C_2482990.cpp
0	0	509.5	0.610402	311	u1024_241_C_2483169.cpp	u17100_241_C_2482895.cpp
0	0	431.5	0.514484	222	u1024_241_C_2483169.cpp	u17522_241_C_2483616.cpp
0	0	394	0.614213	242	u1024_241_C_2483169.cpp	u18475_241_C_2486505.cpp
0	0	468.5	0.574173	269	u1024_241_C_2483169.cpp	u18691_241_C_2482920.cpp
0	0	365	0.624658	228	u1024_241_C_2483169.cpp	u1882_241_C_2484509.cpp
0	0	390	0.510256	199	u1024_241_C_2483169.cpp	u1948_241_C_2483601.cpp
0	0	454.5	0.605061	275	u1024_241_C_2483169.cpp	u20842_241_C_2485808.cpp
0	0	481	0.594595	286	u1024_241_C_2483169.cpp	u21124_241_C_2483499.cpp
0	0	428.5	0.487748	209	u1024_241_C_2483169.cpp	u21259_241_C_2484344.cpp
0	0	410.5	0.470158	193	u1024_241_C_2483169.cpp	u2174_241_C_2483862.cpp
0	0	559	0.645796	361	u1024_241_C_2483169.cpp	u22047_241_C_2483437.cpp
0	0	384.5	0.605982	233	u1024_241_C_2483169.cpp	u22342_241_C_2485963.cpp
0	0	408.5	0.619339	253	u1024_241_C_2483169.cpp	u2271_241_C_2484997.py
0	0	453.5	0.571114	259	u1024_241_C_2483169.cpp	u23350_241_C_2484655.cpp
0	0	268	1.24627	334	u1024_241_C_2483169.cpp	u2350_241_C_2483273.pas
0	0	451	0.572062	258	u1024_241_C_2483169.cpp	u2351_241_C_2483263.cpp
0	0	464	0.590517	274	u1024_241_C_2483169.cpp	u23676_241_C_2482745.cpp
0	0	407	0.552826	225	u1024_241_C_2483169.cpp	u2412_241_C_2481731.cpp
0	0	380	0.628947	239	u1024_241_C_2483169.cpp	u2478_241_C_2486690.cpp
0	0	448.5	0.497213	223	u1024_241_C_2483169.cpp	u24892_241_C_2486492.cpp
0	0	434	0.52765	229	u1024_241_C_2483169.cpp	u25160_241_C_2485197.cpp
0	0	368.5	0.550882	203	u1024_241_C_2483169.cpp	u253_241_C_2484242.cpp
0	0	488	0.569672	278	u1024_241_C_2483169.cpp	u25800_241_C_2487285.cpp
0	0	354	0.728814	258	u1024_241_C_2483169.cpp	u25860_241_C_2484446.cpp
0	0	387	0.552972	214	u1024_241_C_2483169.cpp	u2606_241_C_2485766.cpp
0	0	408	0.598039	244	u1024_241_C_2483169.cpp	u26110_241_C_2485278.cpp
0	0	394	0.611675	241	u1024_241_C_2483169.cpp	u2668_241_C_2485903.cpp
0	0	404.5	0.53152	215	u1024_241_C_2483169.cpp	u2675_241_C_2485258.cpp
0	0	474	0.523207	248	u1024_241_C_2483169.cpp	u27398_241_C_2483314.cpp
0	0	433	0.551963	239	u1024_241_C_2483169.cpp	u2835_241_C_2487371.cpp
0	0	454	0.519824	236	u1024_241_C_2483169.cpp	u284_241_C_2480910.cpp
0	0	387	0.571059	221	u1024_241_C_2483169.cpp	u2867_241_C_2484988.cpp
0	0	429.5	0.5844	251	u1024_241_C_2483169.cpp	u2971_241_C_2484701.cpp
0	0	365	0.668493	244	u1024_241_C_2483169.cpp	u2986_241_C_2482612.cpp
0	0	505.5	0.642928	325	u1024_241_C_2483169.cpp	u32046_241_C_2483866.cpp
0	0	381	0.658793	251	u1024_241_C_2483169.cpp	u32082_241_C_2485274.py
0	0	428.5	0.553092	237	u1024_241_C_2483169.cpp	u32401_241_C_2482899.cpp
0	0	455.5	0.544457	248	u1024_241_C_2483169.cpp	u32993_241_C_2484506.cpp
0	0	522	0.657088	343	u1024_241_C_2483169.cpp	u33948_241_C_2485414.cpp
0	0	380	0.618421	235	u1024_241_C_2483169.cpp	u33963_241_C_2484540.cpp
0	0	453.5	0.62624	284	u1024_241_C_2483169.cpp	u34790_241_C_2483682.ml
0	0	408.5	0.489596	200	u1024_241_C_2483169.cpp	u3512_241_C_2483716.cpp
0	0	383.5	0.54498	209	u1024_241_C_2483169.cpp	u363_241_C_2481797.cpp
0	0	562	0.734875	413	u1024_241_C_2483169.cpp	u400_241_C_2485877.cpp
0	0	478	0.487448	233	u1024_241_C_2483169.cpp	u422_241_C_2480741.cpp
0	0	395.5	0.616941	244	u1024_241_C_2483169.cpp	u4239_241_C_2484758.py
0	0	459	0.505447	232	u1024_241_C_2483169.cpp	u43174_241_C_2483458.cpp
0	0	494	0.580972	287	u1024_241_C_2483169.cpp	u44008_241_C_2486876.cpp
0	0	478	0.60251	288	u1024_241_C_2483169.cpp	u44766_241_C_2484772.pas
0	0	408	0.598039	244	u1024_241_C_2483169.cpp	u45394_241_C_2487457.cpp
0	0	402.5	0.531677	214	u1024_241_C_2483169.cpp	u4615_241_C_2483798.cpp
0	0	388	0.597938	232	u1024_241_C_2483169.cpp	u46896_241_C_2484992.cpp
0	0	429	0.538462	231	u1024_241_C_2483169.cpp	u47086_241_C_2485688.cpp
0	0	443.5	0.583991	259	u1024_241_C_2483169.cpp	u47204_241_C_2486854.cpp
0	0	383	0.644909	247	u1024_241_C_2483169.cpp	u4870_241_C_2484046.cpp
0	0	495.5	0.557013	276	u1024_241_C_2483169.cpp	u49330_241_C_2484267.cpp
0	0	384.5	0.621586	239	u1024_241_C_2483169.cpp	u50700_241_C_2484453.cpp
0	0	481	0.613306	295	u1024_241_C_2483169.cpp	u51026_241_C_2484356.cpp
0	0	463.5	0.528587	245	u1024_241_C_2483169.cpp	u56110_241_C_2485356.cpp
0	0	393.5	0.620076	244	u1024_241_C_2483169.cpp	u56120_241_C_2485925.cpp
0	0	470	0.593617	279	u1024_241_C_2483169.cpp	u56333_241_C_2485144.cpp
0	0	395.5	0.541087	214	u1024_241_C_2483169.cpp	u5760_241_C_2483525.cpp
0	0	458	0.598253	274	u1024_241_C_2483169.cpp	u5777_241_C_2481429.cpp
0	0	533	0.664165	354	u1024_241_C_2483169.cpp	u582_241_C_2486090.cpp
0	0	448	0.546875	245	u1024_241_C_2483169.cpp	u5892_241_C_2481794.cpp
0	0	518.5	0.63838	331	u1024_241_C_2483169.cpp	u60621_241_C_2484370.cpp
0	0	443	0.553047	245	u1024_241_C_2483169.cpp	u65059_241_C_2485431.cpp
0	0	404.5	0.613103	248	u1024_241_C_2483169.cpp	u66074_241_C_2486664.cpp
0	0	394.5	0.583016	230	u1024_241_C_2483169.cpp	u6610_241_C_2484520.cpp
0	0	406	0.539409	219	u1024_241_C_2483169.cpp	u66587_241_C_2485464.cpp
0	0	580	0.744828	432	u1024_241_C_2483169.cpp	u66754_241_C_2486817.cpp
0	0	449	0.5902	265	u1024_241_C_2483169.cpp	u6679_241_C_2487205.cpp
0	0	481	0.613306	295	u1024_241_C_2483169.cpp	u67851_241_C_2484386.cpp
0	0	396	0.611111	242	u1024_241_C_2483169.cpp	u6799_241_C_2482569.cpp
0	0	662.5	0.866415	574	u1024_241_C_2483169.cpp	u695_241_C_2484961.c
0	0	375.5	0.585885	220	u1024_241_C_2483169.cpp	u715_241_C_2482911.cpp
0	0	459	0.603486	277	u1024_241_C_2483169.cpp	u71810_241_C_2486751.cpp
0	0	434	0.589862	256	u1024_241_C_2483169.cpp	u778_241_C_2484276.cpp
0	0	424	0.591981	251	u1024_241_C_2483169.cpp	u7886_241_C_2481028.cpp
0	0	423.5	0.578512	245	u1024_241_C_2483169.cpp	u8375_241_C_2482363.cpp
0	0	383	0.582245	223	u1024_241_C_2483169.cpp	u879_241_C_2483164.cpp
0	0	469	0.61194	287	u1024_241_C_2483169.cpp	u8973_241_C_2483809.cpp
0	0	374	0.596257	223	u1024_241_C_2483169.cpp	u9333_241_C_2484034.cpp
0	0	402.5	0.603727	243	u1024_241_C_2483169.cpp	u9980_241_C_2482086.cpp
0	0	403	0.645161	260	u1036_241_C_2482674.c	u10453_241_C_2486641.cpp
0	0	392.5	0.547771	215	u1036_241_C_2482674.c	u1050_241_C_2481453.cpp
0	0	393	0.592875	233	u1036_241_C_2482674.c	u10964_241_C_2486263.cpp
0	0	319	0.661442	211	u1036_241_C_2482674.c	u1111_241_C_2484080.cpp
0	0	378	0.57672	218	u1036_241_C_2482674.c	u111_241_C_2480853.cpp
0	0	333.5	0.665667	222	u1036_241_C_2482674.c	u11492_241_C_2486183.cpp
0	0	348	0.591954	206	u1036_241_C_2482674.c	u1183_241_C_2482043.cpp
0	0	364.5	0.587106	214	u1036_241_C_2482674.c	u12597_241_C_2485399.cpp
0	0	353.5	0.588402	208	u1036_241_C_2482674.c	u13092_241_C_2485286.cpp
0	0	375.5	0.601864	226	u1036_241_C_2482674.c	u13093_241_C_2483366.cpp
0	0	393.5	0.668361	263	u1036_241_C_2482674.c	u13373_241_C_2485955.cpp
0	0	446.5	0.667413	298	u1036_241_C_2482674.c	u14042_241_C_2484533.cpp
0	0	459	0.736383	338	u1036_241_C_2482674.c	u152_241_C_2484443.cpp
0	0	411	0.647202	266	u1036_241_C_2482674.c	u16933_241_C_2482990.cpp
0	0	472.5	0.74709	353	u1036_241_C_2482674.c	u17100_241_C_2482895.cpp
0	0	394.5	0.547529	216	u1036_241_C_2482674.c	u17522_241_C_2483616.cpp
0	0	357	0.59944	214	u1036_241_C_2482674.c	u18475_241_C_2486505.cpp
0	0	431.5	0.665122	287	u1036_241_C_2482674.c	u18691_241_C_2482920.cpp
0	0	328	0.618902	203	u1036_241_C_2482674.c	u1882_241_C_2484509.cpp
0	0	353	0.589235	208	u1036_241_C_2482674.c	u1948_241_C_2483601.cpp
0	0	417.5	0.62994	263	u1036_241_C_2482674.c	u20842_241_C_2485808.cpp
0	0	444	0.686937	305	u1036_241_C_2482674.c	u21124_241_C_2483499.cpp
0	0	391.5	0.595147	233	u1036_241_C_2482674.c	u21259_241_C_2484344.cpp
0	0	373.5	0.580991	217	u1036_241_C_2482674.c	u2174_241_C_2483862.cpp
0	0	522	0.823755	430	u1036_241_C_2482674.c	u22047_241_C_2483437.cpp
0	0	347.5	0.584173	203	u1036_241_C_2482674.c	u22342_241_C_2485963.cpp
0	0	371.5	0.576043	214	u1036_241_C_2482674.c	u2271_241_C_2484997.py
