Ans	Guess	Size	DistRatio	Dist	I	J
0	0	231	1.53247	354	000078-open-2015-290-Blue.py	000531-open-2015-264-Blue.cpp
0	0	272	1.62868	443	000078-open-2015-290-Blue.py	000644-open-2015-146-Blue.pas
0	0	313	1.65495	518	000078-open-2015-290-Blue.py	000676-open-2015-264-Blue.cpp
0	0	131	1.24427	163	000078-open-2015-290-Blue.py	000700-open-2015-050-Blue.cpp
0	0	118.5	1.18987	141	000078-open-2015-290-Blue.py	000737-open-2015-050-Blue.cpp
0	0	210	1.49524	314	000078-open-2015-290-Blue.py	000763-open-2015-336-Blue.cpp
0	0	93	1.04301	97	000078-open-2015-290-Blue.py	000795-open-2015-214-Blue.cpp
0	0	436	1.76376	769	000078-open-2015-290-Blue.py	000825-open-2015-342-Blue.cpp
0	0	407.5	1.73497	707	000078-open-2015-290-Blue.py	001121-open-2015-336-Blue.cpp
0	0	180	1.45	261	000078-open-2015-290-Blue.py	001138-open-2015-214-Blue.cpp
0	0	568.5	1.80827	1028	000078-open-2015-290-Blue.py	001191-open-2015-264-Blue.cpp
0	0	125	1.264	158	000078-open-2015-290-Blue.py	001250-open-2015-113-Blue.cpp
0	0	170.5	1.41935	242	000078-open-2015-290-Blue.py	001280-open-2015-239-Blue.cpp
0	0	141.5	1.30742	185	000078-open-2015-290-Blue.py	001293-open-2015-006-Blue.cpp
0	0	404.5	1.733	701	000078-open-2015-290-Blue.py	001295-open-2015-336-Blue.cpp
0	0	278	1.63669	455	000078-open-2015-290-Blue.py	001318-open-2015-214-Blue.cpp
0	0	676	1.83876	1243	000078-open-2015-290-Blue.py	001386-open-2015-264-Blue.cpp
0	0	129.5	1.28185	166	000078-open-2015-290-Blue.py	001482-open-2015-113-Blue.cpp
0	0	431	1.74942	754	000078-open-2015-290-Blue.py	001527-open-2015-336-Blue.cpp
0	0	406	1.73399	704	000078-open-2015-290-Blue.py	001668-open-2015-106-Blue.cpp
0	0	170	1.42353	242	000078-open-2015-290-Blue.py	001677-open-2015-326-Blue.cpp
0	0	333	1.67868	559	000078-open-2015-290-Blue.py	001694-open-2015-153-Blue.cpp
0	0	176.5	1.44476	255	000078-open-2015-290-Blue.py	001703-open-2015-326-Blue.cpp
0	0	209	1.52632	319	000078-open-2015-290-Blue.py	001732-open-2015-326-Blue.cpp
0	0	367	1.70572	626	000078-open-2015-290-Blue.py	001784-open-2015-239-Blue.cpp
0	0	330	1.67576	553	000078-open-2015-290-Blue.py	001787-open-2015-194-Blue.java
0	0	87	0.988506	86	000078-open-2015-290-Blue.py	001804-open-2015-214-Blue.cpp
0	0	201	1.49254	300	000078-open-2015-290-Blue.py	001813-open-2015-216-Blue.cpp
0	0	168.5	1.4184	239	000078-open-2015-290-Blue.py	001817-open-2015-326-Blue.cpp
0	0	96	1.05208	101	000078-open-2015-290-Blue.py	001855-open-2015-214-Blue.cpp
0	0	106	1.14151	121	000078-open-2015-290-Blue.py	001965-open-2015-022-Blue.cpp
0	0	172.5	1.41449	244	000078-open-2015-290-Blue.py	002001-open-2015-152-Blue.cpp
0	0	218	1.52752	333	000078-open-2015-290-Blue.py	002021-open-2015-270-Blue.cpp
0	0	434.5	1.75374	762	000078-open-2015-290-Blue.py	002073-open-2015-194-Blue.java
0	0	351	1.7151	602	000078-open-2015-290-Blue.py	002184-open-2015-067-Blue.cpp
0	0	226.5	1.53642	348	000078-open-2015-290-Blue.py	002258-open-2015-163-Blue.cpp
0	0	378.5	1.71466	649	000078-open-2015-290-Blue.py	002311-open-2015-239-Blue.cpp
0	0	551	1.81307	999	000078-open-2015-290-Blue.py	002359-open-2015-342-Blue.cpp
0	0	551	1.81307	999	000078-open-2015-290-Blue.py	002381-open-2015-342-Blue.cpp
0	0	551	1.81307	999	000078-open-2015-290-Blue.py	002401-open-2015-342-Blue.cpp
0	0	322	1.67081	538	000078-open-2015-290-Blue.py	002410-open-2015-094-Blue.cpp
0	0	551	1.81307	999	000078-open-2015-290-Blue.py	002462-open-2015-342-Blue.cpp
0	0	298	1.66443	496	000078-open-2015-290-Blue.py	002511-open-2015-066-Blue.cpp
0	0	91.5	0.95082	87	000078-open-2015-290-Blue.py	002552-open-2015-071-Blue.cpp
0	0	214	1.50467	322	000078-open-2015-290-Blue.py	002708-open-2015-106-Blue.cpp
