Ans	Guess	Size	DistRatio	Dist	I	J
1	1	572.5	0.0454148	26	000938-open-2015-011-Cyan.cpp	001054-open-2015-011-Cyan.cpp
1	1	569.5	0.0509219	29	000938-open-2015-011-Cyan.cpp	001105-open-2015-011-Cyan.cpp
0	0	629.5	0.56394	355	000938-open-2015-011-Cyan.cpp	001409-open-2015-106-Cyan.cpp
0	0	370.5	1.16599	432	000938-open-2015-011-Cyan.cpp	001587-open-2015-212-Cyan.cpp
0	0	702.5	0.688968	484	000938-open-2015-011-Cyan.cpp	001603-open-2015-165-Cyan.java
0	0	475.5	0.635121	302	000938-open-2015-011-Cyan.cpp	001758-open-2015-118-Cyan.cpp
0	0	482	0.630705	304	000938-open-2015-011-Cyan.cpp	001801-open-2015-113-Cyan.cpp
0	0	518	0.646718	335	000938-open-2015-011-Cyan.cpp	001839-open-2015-214-Cyan.cpp
0	0	584.5	0.559453	327	000938-open-2015-011-Cyan.cpp	001865-open-2015-255-Cyan.cpp
0	0	572	0.576923	330	000938-open-2015-011-Cyan.cpp	001885-open-2015-283-Cyan.cpp
0	0	497.5	0.578894	288	000938-open-2015-011-Cyan.cpp	001908-open-2015-053-Cyan.cpp
0	0	497.5	0.578894	288	000938-open-2015-011-Cyan.cpp	001931-open-2015-053-Cyan.cpp
1	1	549.5	0.165605	91	000938-open-2015-011-Cyan.cpp	002082-open-2015-011-Cyan.cpp
0	0	653.5	0.602907	394	000938-open-2015-011-Cyan.cpp	002107-open-2015-165-Cyan.java
0	0	706.5	0.672328	475	000938-open-2015-011-Cyan.cpp	002175-open-2015-206-Cyan.cpp
0	0	706.5	0.672328	475	000938-open-2015-011-Cyan.cpp	002190-open-2015-206-Cyan.cpp
1	1	553.5	0.168022	93	000938-open-2015-011-Cyan.cpp	002299-open-2015-011-Cyan.cpp
0	0	595.5	0.495382	295	000938-open-2015-011-Cyan.cpp	002387-open-2015-053-Cyan.cpp
0	0	611.5	0.575634	352	000938-open-2015-011-Cyan.cpp	002435-open-2015-255-Cyan.cpp
0	0	570.5	0.51709	295	000938-open-2015-011-Cyan.cpp	002556-open-2015-067-Cyan.cpp
0	0	677.5	0.612546	415	000938-open-2015-011-Cyan.cpp	002622-open-2015-257-Cyan.cpp
0	0	577	0.52513	303	000938-open-2015-011-Cyan.cpp	002635-open-2015-067-Cyan.cpp
0	0	654	0.619266	405	000938-open-2015-011-Cyan.cpp	002688-open-2015-255-Cyan.cpp
0	0	604.5	0.592225	358	000938-open-2015-011-Cyan.cpp	002727-open-2015-283-Cyan.cpp
0	0	793.5	0.79017	627	000938-open-2015-011-Cyan.cpp	002771-open-2015-255-Cyan.cpp
0	0	793.5	0.79017	627	000938-open-2015-011-Cyan.cpp	002812-open-2015-255-Cyan.cpp
0	0	551	0.569873	314	000938-open-2015-011-Cyan.cpp	002840-open-2015-206-Cyan.cpp
0	0	536	0.625	335	000938-open-2015-011-Cyan.cpp	002897-open-2015-239-Cyan.cpp
0	0	578	0.525952	304	000938-open-2015-011-Cyan.cpp	002907-open-2015-067-Cyan.cpp
0	0	595.5	0.495382	295	000938-open-2015-011-Cyan.cpp	002986-open-2015-053-Cyan.cpp
0	0	579	0.528497	306	000938-open-2015-011-Cyan.cpp	003003-open-2015-067-Cyan.cpp
0	0	755.5	0.739907	559	000938-open-2015-011-Cyan.cpp	003391-open-2015-203-Cyan.cpp
0	0	594	0.542088	322	000938-open-2015-011-Cyan.cpp	003456-open-2015-257-Cyan.cpp
0	0	755	0.764238	577	000938-open-2015-011-Cyan.cpp	003478-open-2015-191-Cyan.cpp
0	0	502	0.543825	273	000938-open-2015-011-Cyan.cpp	003504-open-2015-106-Cyan.cpp
0	0	675	0.604444	408	000938-open-2015-011-Cyan.cpp	003512-open-2015-190-Cyan.cpp
0	0	645.5	0.560806	362	000938-open-2015-011-Cyan.cpp	003571-open-2015-270-Cyan.cpp
0	0	490.5	0.695209	341	000938-open-2015-011-Cyan.cpp	003620-open-2015-006-Cyan.cpp
0	0	608.5	0.568611	346	000938-open-2015-011-Cyan.cpp	003643-open-2015-067-Cyan.cpp
0	0	674	0.608309	410	000938-open-2015-011-Cyan.cpp	003662-open-2015-190-Cyan.cpp
0	0	474.5	0.697576	331	000938-open-2015-011-Cyan.cpp	003696-open-2015-153-Cyan.cpp
0	0	474.5	0.697576	331	000938-open-2015-011-Cyan.cpp	003709-open-2015-153-Cyan.cpp
0	0	535	0.642991	344	000938-open-2015-011-Cyan.cpp	003715-open-2015-214-Cyan.cpp
0	0	850.5	0.875955	745	000938-open-2015-011-Cyan.cpp	003806-open-2015-191-Cyan.cpp
0	0	656.5	0.615385	404	000938-open-2015-011-Cyan.cpp	003849-open-2015-146-Cyan.pas
0	0	574.5	0.515231	296	000938-open-2015-011-Cyan.cpp	003857-open-2015-079-Cyan.cpp
0	0	555.5	0.570657	317	000938-open-2015-011-Cyan.cpp	003947-open-2015-031-Cyan.cpp
0	0	469.5	0.705005	331	000938-open-2015-011-Cyan.cpp	003950-open-2015-123-Cyan.cpp
0	0	603	0.585406	353	000938-open-2015-011-Cyan.cpp	004015-open-2015-019-Cyan.cpp
0	0	527	0.580645	306	000938-open-2015-011-Cyan.cpp	004033-open-2015-121-Cyan.cpp
0	0	509	0.612967	312	000938-open-2015-011-Cyan.cpp	004047-open-2015-276-Cyan.cpp
0	0	449	0.777283	349	000938-open-2015-011-Cyan.cpp	004105-open-2015-153-Cyan.cpp
0	0	544	0.538603	293	000938-open-2015-011-Cyan.cpp	004122-open-2015-004-Cyan.cpp
0	0	555	0.535135	297	000938-open-2015-011-Cyan.cpp	004220-open-2015-028-Cyan.cpp
0	0	560.5	0.537021	301	000938-open-2015-011-Cyan.cpp	004350-open-2015-028-Cyan.cpp
0	0	690.5	0.683563	472	000938-open-2015-011-Cyan.cpp	004361-open-2015-322-Cyan.cpp
0	0	531.5	0.555033	295	000938-open-2015-011-Cyan.cpp	004369-open-2015-064-Cyan.cpp
0	0	565	0.492035	278	000938-open-2015-011-Cyan.cpp	004394-open-2015-004-Cyan.cpp
0	0	540.5	0.592044	320	000938-open-2015-011-Cyan.cpp	004410-open-2015-214-Cyan.cpp
0	0	562.5	0.533333	300	000938-open-2015-011-Cyan.cpp	004417-open-2015-028-Cyan.cpp
0	0	572.5	0.50131	287	000938-open-2015-011-Cyan.cpp	004423-open-2015-004-Cyan.cpp
0	0	593	0.551433	327	000938-open-2015-011-Cyan.cpp	004430-open-2015-018-Cyan.cpp
0	0	532.5	0.550235	293	000938-open-2015-011-Cyan.cpp	004465-open-2015-064-Cyan.cpp
0	0	547.5	0.593607	325	000938-open-2015-011-Cyan.cpp	004475-open-2015-214-Cyan.cpp
0	0	515.5	0.616877	318	000938-open-2015-011-Cyan.cpp	004494-open-2015-334-Cyan.cpp
0	0	580.5	0.511628	297	000938-open-2015-011-Cyan.cpp	004498-open-2015-004-Cyan.cpp
0	0	594	0.582492	346	000938-open-2015-011-Cyan.cpp	004505-open-2015-163-Cyan.cpp
0	0	640.5	0.596409	382	000938-open-2015-011-Cyan.cpp	004519-open-2015-342-Cyan.cpp
0	0	667.5	0.657678	439	000938-open-2015-011-Cyan.cpp	004523-open-2015-322-Cyan.cpp
0	0	355.5	1.28551	457	000938-open-2015-011-Cyan.cpp	004525-open-2015-348-Cyan.cpp
0	0	515.5	0.616877	318	000938-open-2015-011-Cyan.cpp	004532-open-2015-334-Cyan.cpp
0	0	590.5	0.523285	309	000938-open-2015-011-Cyan.cpp	004537-open-2015-004-Cyan.cpp
0	0	573	0.561955	322	000938-open-2015-011-Cyan.cpp	004547-open-2015-322-Cyan.cpp
0	0	586.5	0.472293	277	000938-open-2015-011-Cyan.cpp	004557-open-2015-212-Cyan.cpp
0	0	509	0.595285	303	000938-open-2015-011-Cyan.cpp	004596-open-2015-031-Cyan.cpp
0	0	694.5	0.640749	445	000938-open-2015-011-Cyan.cpp	004633-open-2015-067-Cyan.cpp
0	0	506.5	0.596249	302	000938-open-2015-011-Cyan.cpp	004644-open-2015-066-Cyan.cpp
0	0	725.5	0.733287	532	000938-open-2015-011-Cyan.cpp	004684-open-2015-216-Cyan.cpp
0	0	525.5	0.61275	322	000938-open-2015-011-Cyan.cpp	004711-open-2015-334-Cyan.cpp
0	0	519.5	0.621752	323	000938-open-2015-011-Cyan.cpp	004739-open-2015-334-Cyan.cpp
0	0	519.5	0.621752	323	000938-open-2015-011-Cyan.cpp	004745-open-2015-334-Cyan.cpp
0	0	578.5	0.570441	330	000938-open-2015-011-Cyan.cpp	004757-open-2015-117-Cyan.cpp
0	0	519.5	0.621752	323	000938-open-2015-011-Cyan.cpp	004787-open-2015-334-Cyan.cpp
0	0	529.5	0.583569	309	000938-open-2015-011-Cyan.cpp	004821-open-2015-031-Cyan.cpp
0	0	578.5	0.570441	330	000938-open-2015-011-Cyan.cpp	004833-open-2015-117-Cyan.cpp
0	0	780	0.752564	587	000938-open-2015-011-Cyan.cpp	004840-open-2015-322-Cyan.cpp
0	0	573.5	0.549259	315	000938-open-2015-011-Cyan.cpp	004867-open-2015-022-Cyan.cpp
0	0	548.5	0.484959	266	000938-open-2015-011-Cyan.cpp	004896-open-2015-157-Cyan.cpp
0	0	643	0.634526	408	000938-open-2015-011-Cyan.cpp	004905-open-2015-324-Cyan.cpp
0	0	658	0.673252	443	000938-open-2015-011-Cyan.cpp	004957-open-2015-153-Cyan.cpp
0	0	513.5	0.584226	300	000938-open-2015-011-Cyan.cpp	004970-open-2015-087-Cyan.cpp
0	0	627	0.574163	360	000938-open-2015-011-Cyan.cpp	005055-open-2015-019-Cyan.cpp
0	0	517.5	0.583575	302	000938-open-2015-011-Cyan.cpp	005058-open-2015-087-Cyan.cpp
0	0	520	0.619231	322	000938-open-2015-011-Cyan.cpp	005069-open-2015-334-Cyan.cpp
0	0	361.5	1.18949	430	000938-open-2015-011-Cyan.cpp	005094-open-2015-094-Cyan.cpp
0	0	521.5	0.634708	331	000938-open-2015-011-Cyan.cpp	005119-open-2015-191-Cyan.cpp
0	0	459	0.727669	334	000938-open-2015-011-Cyan.cpp	005139-open-2015-167-Cyan.cpp
0	0	503	0.622266	313	000938-open-2015-011-Cyan.cpp	005148-open-2015-087-Cyan.cpp
0	0	592	0.576014	341	000938-open-2015-011-Cyan.cpp	005149-open-2015-153-Cyan.cpp
0	0	513.5	0.547225	281	000938-open-2015-011-Cyan.cpp	005163-open-2015-066-Cyan.cpp
0	0	361.5	1.18949	430	000938-open-2015-011-Cyan.cpp	005166-open-2015-094-Cyan.cpp
0	0	592	0.576014	341	000938-open-2015-011-Cyan.cpp	005171-open-2015-153-Cyan.cpp
0	0	698	0.694842	485	000938-open-2015-011-Cyan.cpp	005200-open-2015-216-Cyan.cpp
0	0	361.5	1.18949	430	000938-open-2015-011-Cyan.cpp	005215-open-2015-094-Cyan.cpp
0	0	625	0.592	370	000938-open-2015-011-Cyan.cpp	005225-open-2015-214-Cyan.cpp
0	0	592.5	0.577215	342	000938-open-2015-011-Cyan.cpp	005245-open-2015-153-Cyan.cpp
0	0	521	0.633397	330	000938-open-2015-011-Cyan.cpp	005256-open-2015-191-Cyan.cpp
0	0	669	0.64275	430	000938-open-2015-011-Cyan.cpp	005272-open-2015-117-Cyan.cpp
0	0	532.5	0.525822	280	000938-open-2015-011-Cyan.cpp	005313-open-2015-157-Cyan.cpp
0	0	552	0.532609	294	000938-open-2015-011-Cyan.cpp	005336-open-2015-022-Cyan.cpp
0	0	844	0.790284	667	000938-open-2015-011-Cyan.cpp	005353-open-2015-067-Cyan.cpp
0	0	636.5	0.56088	357	000938-open-2015-011-Cyan.cpp	005357-open-2015-019-Cyan.cpp
0	0	560	0.458929	257	000938-open-2015-011-Cyan.cpp	005363-open-2015-106-Cyan.cpp
0	0	656.5	0.615385	404	000938-open-2015-011-Cyan.cpp	005368-open-2015-146-Cyan.pas
0	0	782	0.725064	567	000938-open-2015-011-Cyan.cpp	005373-open-2015-067-Cyan.cpp
0	0	498	0.61245	305	000938-open-2015-011-Cyan.cpp	005384-open-2015-322-Cyan.cpp
0	0	531.5	0.528692	281	000938-open-2015-011-Cyan.cpp	005390-open-2015-157-Cyan.cpp
0	0	698.5	0.662849	463	000938-open-2015-011-Cyan.cpp	005420-open-2015-031-Cyan.cpp
0	0	498	0.61245	305	000938-open-2015-011-Cyan.cpp	005421-open-2015-322-Cyan.cpp
0	0	591	0.617597	365	000938-open-2015-011-Cyan.cpp	005537-open-2015-080-Cyan.cpp
0	0	469	0.703625	330	000938-open-2015-011-Cyan.cpp	005560-open-2015-191-Cyan.cpp
0	0	606	0.632013	383	000938-open-2015-011-Cyan.cpp	005645-open-2015-080-Cyan.cpp
0	0	527.5	0.610427	322	000938-open-2015-011-Cyan.cpp	005701-open-2015-334-Cyan.cpp
0	0	730	0.715068	522	000938-open-2015-011-Cyan.cpp	005757-open-2015-216-Cyan.cpp
0	0	554.5	0.555455	308	000938-open-2015-011-Cyan.cpp	005779-open-2015-191-Cyan.cpp
0	0	666.5	0.609152	406	000938-open-2015-011-Cyan.cpp	005785-open-2015-050-Cyan.cpp
0	0	552	0.594203	328	000938-open-2015-011-Cyan.cpp	005870-open-2015-334-Cyan.cpp
0	0	357	1.23529	441	000938-open-2015-011-Cyan.cpp	006001-open-2015-006-Cyan.cpp
0	0	622.5	0.551004	343	000938-open-2015-011-Cyan.cpp	006030-open-2015-019-Cyan.cpp
0	0	710	0.68169	484	000938-open-2015-011-Cyan.cpp	006037-open-2015-255-Cyan.cpp
0	0	570.5	0.594216	339	000938-open-2015-011-Cyan.cpp	006044-open-2015-309-Cyan.java
0	0	554.5	0.555455	308	000938-open-2015-011-Cyan.cpp	006055-open-2015-191-Cyan.cpp
0	0	457	0.695842	318	000938-open-2015-011-Cyan.cpp	006079-open-2015-130-Cyan.cpp
0	0	682	0.646628	441	000938-open-2015-011-Cyan.cpp	006090-open-2015-255-Cyan.cpp
0	0	661.5	0.624339	413	000938-open-2015-011-Cyan.cpp	006166-open-2015-342-Cyan.cpp
0	0	472.5	0.605291	286	000938-open-2015-011-Cyan.cpp	006226-open-2015-006-Cyan.cpp
0	0	642.5	0.602335	387	000938-open-2015-011-Cyan.cpp	006229-open-2015-342-Cyan.cpp
0	0	668.5	0.640239	428	000938-open-2015-011-Cyan.cpp	006258-open-2015-117-Cyan.cpp
0	0	585	0.601709	352	000938-open-2015-011-Cyan.cpp	006312-open-2015-275-Cyan.cpp
0	0	357	1.23529	441	000938-open-2015-011-Cyan.cpp	006320-open-2015-006-Cyan.cpp
0	0	712.5	0.687719	490	000938-open-2015-011-Cyan.cpp	006323-open-2015-255-Cyan.cpp
0	0	680.5	0.65687	447	000938-open-2015-011-Cyan.cpp	006445-open-2015-340-Cyan.cpp
0	0	489	0.586912	287	000938-open-2015-011-Cyan.cpp	006447-open-2015-130-Cyan.cpp
0	0	517	0.628627	325	000938-open-2015-011-Cyan.cpp	006467-open-2015-275-Cyan.cpp
0	0	733.5	0.790729	580	000938-open-2015-011-Cyan.cpp	006559-open-2015-274-Cyan.cpp
0	0	684	0.659357	451	000938-open-2015-011-Cyan.cpp	006600-open-2015-340-Cyan.cpp
0	0	532.5	0.552113	294	000938-open-2015-011-Cyan.cpp	006623-open-2015-155-Cyan.cpp
0	0	641.5	0.62198	399	000938-open-2015-011-Cyan.cpp	006654-open-2015-260-Cyan.cpp
0	0	468	0.726496	340	000938-open-2015-011-Cyan.cpp	006665-open-2015-183-Cyan.cpp
0	0	653.5	0.598317	391	000938-open-2015-011-Cyan.cpp	006687-open-2015-087-Cyan.cpp
0	0	561.5	0.518255	291	000938-open-2015-011-Cyan.cpp	006706-open-2015-155-Cyan.cpp
0	0	529.5	0.611898	324	000938-open-2015-011-Cyan.cpp	006733-open-2015-194-Cyan.cpp
0	0	787	0.773825	609	000938-open-2015-011-Cyan.cpp	006785-open-2015-342-Cyan.cpp
0	0	592	0.545608	323	000938-open-2015-011-Cyan.cpp	006799-open-2015-314-Cyan.cpp
0	0	421	0.904988	381	000938-open-2015-011-Cyan.cpp	006815-open-2015-066-Cyan.cpp
0	0	622.5	0.555823	346	000938-open-2015-011-Cyan.cpp	006833-open-2015-326-Cyan.cpp
0	0	470.5	0.722635	340	000938-open-2015-011-Cyan.cpp	006843-open-2015-183-Cyan.cpp
0	0	463.5	0.638619	296	000938-open-2015-011-Cyan.cpp	006882-open-2015-095-Cyan.cpp
0	0	431.5	0.878331	379	000938-open-2015-011-Cyan.cpp	006945-open-2015-072-Cyan.cpp
0	0	679	0.681885	463	000938-open-2015-011-Cyan.cpp	006958-open-2015-276-Cyan.cpp
0	0	568	0.596831	339	000938-open-2015-011-Cyan.cpp	007002-open-2015-309-Cyan.java
0	0	418.5	0.915173	383	000938-open-2015-011-Cyan.cpp	007014-open-2015-066-Cyan.cpp
0	0	540	0.603704	326	000938-open-2015-011-Cyan.cpp	007125-open-2015-275-Cyan.cpp
0	0	741.5	0.710722	527	000938-open-2015-011-Cyan.cpp	007149-open-2015-314-Cyan.cpp
0	0	896	0.940848	843	000938-open-2015-011-Cyan.cpp	007169-open-2015-023-Cyan.pas
0	0	546	0.569597	311	000938-open-2015-011-Cyan.cpp	007181-open-2015-191-Cyan.cpp
0	0	453	0.717439	325	000938-open-2015-011-Cyan.cpp	007208-open-2015-095-Cyan.cpp
0	0	543.5	0.601656	327	000938-open-2015-011-Cyan.cpp	007215-open-2015-275-Cyan.cpp
0	0	474	0.71097	337	000938-open-2015-011-Cyan.cpp	007216-open-2015-232-Cyan.cpp
0	0	450.5	0.779134	351	000938-open-2015-011-Cyan.cpp	007234-open-2015-183-Cyan.cpp
0	0	563	0.55595	313	000938-open-2015-011-Cyan.cpp	007252-open-2015-065-Cyan.cpp
0	0	531	0.536723	285	000938-open-2015-011-Cyan.cpp	007257-open-2015-342-Cyan.cpp
0	0	435	0.806897	351	000938-open-2015-011-Cyan.cpp	007305-open-2015-334-Cyan.cpp
0	0	385.5	1.03761	400	000938-open-2015-011-Cyan.cpp	007363-open-2015-106-Cyan.cpp
0	0	533	0.534709	285	000938-open-2015-011-Cyan.cpp	007379-open-2015-342-Cyan.cpp
0	0	509.5	0.54367	277	000938-open-2015-011-Cyan.cpp	007399-open-2015-212-Cyan.cpp
0	0	595	0.521008	310	000938-open-2015-011-Cyan.cpp	007458-open-2015-077-Cyan.cpp
0	0	731	0.699042	511	000938-open-2015-011-Cyan.cpp	007467-open-2015-216-Cyan.cpp
0	0	739	0.717185	530	000938-open-2015-011-Cyan.cpp	007517-open-2015-262-Cyan.cpp
0	0	582	0.532646	310	000938-open-2015-011-Cyan.cpp	007545-open-2015-351-Cyan.cpp
0	0	640	0.565625	362	000938-open-2015-011-Cyan.cpp	007558-open-2015-326-Cyan.cpp
0	0	722.5	0.69481	502	000938-open-2015-011-Cyan.cpp	007586-open-2015-255-Cyan.cpp
0	0	528	0.522727	276	000938-open-2015-011-Cyan.cpp	007616-open-2015-118-Cyan.cpp
0	0	650	0.6	390	000938-open-2015-011-Cyan.cpp	007622-open-2015-067-Cyan.cpp
0	0	531	0.60452	321	000938-open-2015-011-Cyan.cpp	007629-open-2015-065-Cyan.cpp
0	0	640	0.565625	362	000938-open-2015-011-Cyan.cpp	007643-open-2015-326-Cyan.cpp
0	0	754.5	0.732936	553	000938-open-2015-011-Cyan.cpp	007644-open-2015-262-Cyan.cpp
0	0	535	0.495327	265	000938-open-2015-011-Cyan.cpp	007721-open-2015-077-Cyan.cpp
0	0	713	0.71669	511	000938-open-2015-011-Cyan.cpp	007755-open-2015-276-Cyan.cpp
0	0	640	0.565625	362	000938-open-2015-011-Cyan.cpp	007760-open-2015-326-Cyan.cpp
0	0	615	0.55122	339	000938-open-2015-011-Cyan.cpp	007797-open-2015-326-Cyan.cpp
0	0	472.5	0.708995	335	000938-open-2015-011-Cyan.cpp	007823-open-2015-321-Cyan.cpp
0	0	737.5	0.721356	532	000938-open-2015-011-Cyan.cpp	007824-open-2015-255-Cyan.cpp
0	0	338.5	1.40916	477	000938-open-2015-011-Cyan.cpp	007831-open-2015-145-Cyan.cpp
0	0	696	0.66092	460	000938-open-2015-011-Cyan.cpp	007838-open-2015-142-Cyan.cpp
0	0	746	0.773458	577	000938-open-2015-011-Cyan.cpp	007841-open-2015-174-Cyan.cpp
0	0	603.5	0.518641	313	000938-open-2015-011-Cyan.cpp	007842-open-2015-003-Cyan.cpp
0	0	744.5	0.729349	543	000938-open-2015-011-Cyan.cpp	007849-open-2015-053-Cyan.cpp
0	0	512.5	0.503415	258	000938-open-2015-011-Cyan.cpp	007858-open-2015-118-Cyan.cpp
0	0	338.5	1.40916	477	000938-open-2015-011-Cyan.cpp	007916-open-2015-145-Cyan.cpp
0	0	637.5	0.545882	348	000938-open-2015-011-Cyan.cpp	007951-open-2015-216-Cyan.cpp
0	0	581	0.524957	305	000938-open-2015-011-Cyan.cpp	008036-open-2015-066-Cyan.cpp
0	0	618.5	0.551334	341	000938-open-2015-011-Cyan.cpp	008037-open-2015-326-Cyan.cpp
0	0	674.5	0.6553	442	000938-open-2015-011-Cyan.cpp	008047-open-2015-239-Cyan.cpp
0	0	545.5	0.584785	319	000938-open-2015-011-Cyan.cpp	008054-open-2015-065-Cyan.cpp
0	0	464.5	0.734123	341	000938-open-2015-011-Cyan.cpp	008056-open-2015-321-Cyan.cpp
0	0	624	0.540064	337	000938-open-2015-011-Cyan.cpp	008087-open-2015-220-Cyan.cpp
0	0	635	0.590551	375	000938-open-2015-011-Cyan.cpp	008150-open-2015-191-Cyan.cpp
0	0	881.5	0.925695	816	000938-open-2015-011-Cyan.cpp	008157-open-2015-023-Cyan.pas
0	0	636	0.544025	346	000938-open-2015-011-Cyan.cpp	008165-open-2015-216-Cyan.cpp
0	0	543.5	0.601656	327	000938-open-2015-011-Cyan.cpp	008184-open-2015-275-Cyan.cpp
0	0	647.5	0.625483	405	000938-open-2015-011-Cyan.cpp	008192-open-2015-260-Cyan.cpp
0	0	476.5	0.70724	337	000938-open-2015-011-Cyan.cpp	008212-open-2015-321-Cyan.cpp
0	0	553.5	0.457091	253	000938-open-2015-011-Cyan.cpp	008227-open-2015-212-Cyan.cpp
0	0	1576	1.34708	2123	000938-open-2015-011-Cyan.cpp	008239-open-2015-023-Cyan.pas
0	0	559.5	0.529044	296	000938-open-2015-011-Cyan.cpp	008286-open-2015-256-Cyan.cpp
0	0	560.5	0.5281	296	000938-open-2015-011-Cyan.cpp	008303-open-2015-256-Cyan.cpp
0	0	553.5	0.457091	253	000938-open-2015-011-Cyan.cpp	008311-open-2015-212-Cyan.cpp
0	0	665.5	0.641623	427	000938-open-2015-011-Cyan.cpp	008315-open-2015-260-Cyan.cpp
0	0	563	0.527531	297	000938-open-2015-011-Cyan.cpp	008334-open-2015-256-Cyan.cpp
0	0	562	0.569395	320	000938-open-2015-011-Cyan.cpp	008346-open-2015-163-Cyan.cpp
0	0	896	0.895089	802	000938-open-2015-011-Cyan.cpp	008360-open-2015-264-Cyan.cpp
0	0	896	0.895089	802	000938-open-2015-011-Cyan.cpp	008378-open-2015-264-Cyan.cpp
0	0	557.5	0.584753	326	000938-open-2015-011-Cyan.cpp	008387-open-2015-065-Cyan.cpp
0	0	502	0.472112	237	000938-open-2015-011-Cyan.cpp	008399-open-2015-077-Cyan.cpp
0	0	545.5	0.584785	319	000938-open-2015-011-Cyan.cpp	008424-open-2015-065-Cyan.cpp
0	0	665.5	0.641623	427	000938-open-2015-011-Cyan.cpp	008443-open-2015-260-Cyan.cpp
0	0	503.5	0.641509	323	000938-open-2015-011-Cyan.cpp	008450-open-2015-191-Cyan.cpp
0	0	516	0.534884	276	000938-open-2015-011-Cyan.cpp	008473-open-2015-206-Cyan.cpp
0	0	480.5	0.595213	286	000938-open-2015-011-Cyan.cpp	008479-open-2015-351-Cyan.cpp
0	0	506	0.470356	238	000938-open-2015-011-Cyan.cpp	008482-open-2015-077-Cyan.cpp
0	0	740.5	0.719784	533	000938-open-2015-011-Cyan.cpp	008516-open-2015-262-Cyan.cpp
