Ans	Guess	Size	DistRatio	Dist	I	J
1	1	114	0.0526316	6	000073-open-2015-214-Yellow.cpp	000076-open-2015-214-Yellow.cpp
1	1	114	0.0526316	6	000073-open-2015-214-Yellow.cpp	000077-open-2015-214-Yellow.cpp
0	0	164.5	0.778116	128	000073-open-2015-214-Yellow.cpp	000087-open-2015-283-Yellow.cpp
0	0	232.5	1.15699	269	000073-open-2015-214-Yellow.cpp	000091-open-2015-206-Yellow.cpp
0	0	170	0.847059	144	000073-open-2015-214-Yellow.cpp	000093-open-2015-064-Yellow.cpp
0	1	115.5	0.225108	26	000073-open-2015-214-Yellow.cpp	000094-open-2015-203-Yellow.cpp
0	0	186.5	0.981233	183	000073-open-2015-214-Yellow.cpp	000103-open-2015-351-Yellow.cpp
0	0	288	1.27778	368	000073-open-2015-214-Yellow.cpp	000105-open-2015-336-Yellow.cpp
0	0	204	0.980392	200	000073-open-2015-214-Yellow.cpp	000107-open-2015-216-Yellow.cpp
1	0	259.5	1.15992	301	000073-open-2015-214-Yellow.cpp	000111-open-2015-214-Yellow.cpp
0	0	184.5	0.878049	162	000073-open-2015-214-Yellow.cpp	000112-open-2015-022-Yellow.cpp
0	0	171	0.748538	128	000073-open-2015-214-Yellow.cpp	000122-open-2015-050-Yellow.cpp
0	0	334.5	1.39611	467	000073-open-2015-214-Yellow.cpp	000123-open-2015-340-Yellow.cpp
0	0	161	0.782609	126	000073-open-2015-214-Yellow.cpp	000127-open-2015-314-Yellow.cpp
1	0	275.5	1.20871	333	000073-open-2015-214-Yellow.cpp	000129-open-2015-214-Yellow.cpp
0	0	196	0.954082	187	000073-open-2015-214-Yellow.cpp	000132-open-2015-274-Yellow.cpp
0	0	174.5	0.87106	152	000073-open-2015-214-Yellow.cpp	000137-open-2015-117-Yellow.cpp
0	0	165	0.8	132	000073-open-2015-214-Yellow.cpp	000139-open-2015-256-Yellow.cpp
0	0	170	0.764706	130	000073-open-2015-214-Yellow.cpp	000143-open-2015-342-Yellow.cpp
0	0	232.5	1.07957	251	000073-open-2015-214-Yellow.cpp	000145-open-2015-255-Yellow.cpp
0	0	130	0.692308	90	000073-open-2015-214-Yellow.cpp	000159-open-2015-079-Yellow.cpp
0	0	195.5	0.961637	188	000073-open-2015-214-Yellow.cpp	000163-open-2015-080-Yellow.cpp
0	0	242	1.1405	276	000073-open-2015-214-Yellow.cpp	000170-open-2015-028-Yellow.cpp
0	0	232	1.07759	250	000073-open-2015-214-Yellow.cpp	000173-open-2015-255-Yellow.cpp
0	0	230	1.11304	256	000073-open-2015-214-Yellow.cpp	000185-open-2015-080-Yellow.cpp
0	0	285	1.30175	371	000073-open-2015-214-Yellow.cpp	000190-open-2015-257-Yellow.cpp
0	0	224	1.0625	238	000073-open-2015-214-Yellow.cpp	000194-open-2015-018-Yellow.cpp
0	0	230	1.11304	256	000073-open-2015-214-Yellow.cpp	000199-open-2015-080-Yellow.cpp
0	0	270	1.24444	336	000073-open-2015-214-Yellow.cpp	000203-open-2015-257-Yellow.cpp
0	0	173.5	0.881844	153	000073-open-2015-214-Yellow.cpp	000209-open-2015-118-Yellow.cpp
0	0	326	1.3589	443	000073-open-2015-214-Yellow.cpp	000215-open-2015-336-Yellow.cpp
0	0	271	1.26568	343	000073-open-2015-214-Yellow.cpp	000218-open-2015-257-Yellow.cpp
0	0	244.5	1.12474	275	000073-open-2015-214-Yellow.cpp	000223-open-2015-264-Yellow.cpp
0	0	207	0.980676	203	000073-open-2015-214-Yellow.cpp	000224-open-2015-324-Yellow.cpp
0	0	262	1.17176	307	000073-open-2015-214-Yellow.cpp	000227-open-2015-019-Yellow.cpp
0	0	285	1.30175	371	000073-open-2015-214-Yellow.cpp	000228-open-2015-257-Yellow.cpp
0	0	153.5	0.749186	115	000073-open-2015-214-Yellow.cpp	000232-open-2015-155-Yellow.cpp
0	0	244	1.12705	275	000073-open-2015-214-Yellow.cpp	000233-open-2015-018-Yellow.cpp
0	0	169.5	0.890855	151	000073-open-2015-214-Yellow.cpp	000235-open-2015-332-Yellow.cpp
0	0	221.5	1.09707	243	000073-open-2015-214-Yellow.cpp	000238-open-2015-153-Yellow.cpp
0	0	163.5	0.678899	111	000073-open-2015-214-Yellow.cpp	000240-open-2015-276-Yellow.cpp
0	0	136	0.536765	73	000073-open-2015-214-Yellow.cpp	000248-open-2015-177-Yellow.cpp
0	0	168	0.863095	145	000073-open-2015-214-Yellow.cpp	000252-open-2015-232-Yellow.cpp
0	0	170.5	0.797654	136	000073-open-2015-214-Yellow.cpp	000254-open-2015-066-Yellow.cpp
0	0	169.5	0.784661	133	000073-open-2015-214-Yellow.cpp	000258-open-2015-338-Yellow.cpp
0	0	173	0.815029	141	000073-open-2015-214-Yellow.cpp	000265-open-2015-066-Yellow.cpp
0	0	169	0.887574	150	000073-open-2015-214-Yellow.cpp	000268-open-2015-332-Yellow.cpp
0	0	221.5	1.09707	243	000073-open-2015-214-Yellow.cpp	000271-open-2015-153-Yellow.cpp
0	0	238	1.20588	287	000073-open-2015-214-Yellow.cpp	000283-open-2015-079-Yellow.cpp
