Ans	Guess	Size	DistRatio	Dist	I	J
1	1	435	0.045977	20	101-a-1.cpp	101-a-2.cpp
0	0	407	0.550369	224	101-a-1.cpp	103-a-1.cpp
0	0	437	0.567506	248	101-a-1.cpp	103-a-2.cpp
0	0	542.5	0.661751	359	101-a-1.cpp	105-a-1.cpp
0	0	548.5	0.674567	370	101-a-1.cpp	105-a-2.cpp
0	0	422	0.492891	208	101-a-1.cpp	106-a-1.cpp
0	0	414	0.504831	209	101-a-1.cpp	107-a-1.cpp
0	0	424	0.516509	219	101-a-1.cpp	107-a-2.cpp
0	0	423.5	0.514758	218	101-a-1.cpp	107-a-3.cpp
0	0	437.5	0.523429	229	101-a-1.cpp	109-a-1.cpp
0	0	429.5	0.509895	219	101-a-1.cpp	109-a-2.cpp
0	0	431.5	0.505214	218	101-a-1.cpp	109-a-3.cpp
0	0	455	0.549451	250	101-a-1.cpp	109-a-4.cpp
0	0	441.5	0.579841	256	101-a-1.cpp	110-a-1.cpp
0	0	447.5	0.607821	272	101-a-1.cpp	110-a-2.cpp
0	0	524	0.725191	380	101-a-1.cpp	112-a-1.pas
0	0	531.5	0.739417	393	101-a-1.cpp	112-a-2.pas
0	0	418	0.509569	213	101-a-1.cpp	114-a-1.cpp
0	0	417.5	0.507784	212	101-a-1.cpp	114-a-2.cpp
0	0	485.5	0.657055	319	101-a-1.cpp	202-a-1.py
0	0	493	0.667343	329	101-a-1.cpp	202-a-2.py
0	0	339.5	0.715758	243	101-a-1.cpp	203-a-1.cpp
0	0	340	0.714706	243	101-a-1.cpp	203-a-2.cpp
0	0	339.5	0.715758	243	101-a-1.cpp	203-a-3.cpp
0	0	440.5	0.538025	237	101-a-1.cpp	205-a-1.cpp
0	0	415	0.515663	214	101-a-1.cpp	212-a-1.cpp
0	0	415.5	0.515042	214	101-a-1.cpp	212-a-2.cpp
0	0	420	0.509524	214	101-a-1.cpp	212-a-3.cpp
0	0	531.5	0.765757	407	101-a-1.cpp	304-a-1.pas
0	0	497.5	0.601005	299	101-a-1.cpp	409-a-1.cpp
0	0	503.5	0.613704	309	101-a-1.cpp	409-a-2.cpp
0	0	503.5	0.613704	309	101-a-1.cpp	409-a-3.cpp
0	0	505.5	0.613254	310	101-a-1.cpp	409-a-4.cpp
0	0	514.5	0.623907	321	101-a-1.cpp	409-a-5.cpp
0	0	505.5	0.613254	310	101-a-1.cpp	409-a-6.cpp
0	0	519.5	0.637151	331	101-a-1.cpp	409-a-7.cpp
0	0	549	0.715847	393	101-a-1.cpp	412-a-1.cpp
0	0	559.5	0.723861	405	101-a-1.cpp	412-a-2.cpp
0	0	451.5	0.578073	261	101-a-1.cpp	413-a-1.cpp
0	0	456	0.578947	264	101-a-1.cpp	413-a-2.cpp
0	0	463.5	0.606257	281	101-a-1.cpp	413-a-3.cpp
0	0	423.5	0.576151	244	101-a-1.cpp	416-a-1.cpp
0	0	493	0.567951	280	101-a-1.cpp	418-a-1.cpp
0	0	493.5	0.569402	281	101-a-1.cpp	418-a-2.cpp
0	0	498.5	0.553661	276	101-a-1.cpp	418-a-3.cpp
0	0	486.5	0.524152	255	101-a-1.cpp	418-a-4.cpp
0	0	485.5	0.523172	254	101-a-1.cpp	418-a-5.cpp
0	0	496	0.530242	263	101-a-1.cpp	418-a-6.cpp
0	0	495.5	0.528759	262	101-a-1.cpp	418-a-7.cpp
0	0	389.5	0.590501	230	101-a-1.cpp	422-a-1.pas
0	0	382.5	0.593464	227	101-a-1.cpp	422-a-2.pas
0	0	460.5	0.616721	284	101-a-1.cpp	422-a-3.pas
0	0	489.5	0.6619	324	101-a-1.cpp	422-a-4.pas
0	0	496.5	0.666667	331	101-a-1.cpp	422-a-5.pas
0	0	480.5	0.611863	294	101-a-1.cpp	504-a-1.cpp
0	0	480.5	0.611863	294	101-a-1.cpp	504-a-2.cpp
0	0	742.5	0.957576	711	101-a-1.cpp	505-a-1.cpp
0	0	429.5	0.416764	179	101-a-1.cpp	507-a-1.cpp
0	0	439.5	0.414107	182	101-a-1.cpp	507-a-2.cpp
0	0	759.5	0.974325	740	101-a-1.cpp	513-a-1.cpp
0	0	467	0.584582	273	101-a-1.cpp	518-a-1.cpp
