Ans	Guess	Size	DistRatio	Dist	I	J
1	1	685.5	0.0102115	7	101-c-1.cpp	101-c-2.cpp
1	1	700	0.0528571	37	101-c-1.cpp	101-c-3.cpp
0	0	547	0.698355	382	101-c-1.cpp	102-c-1.dpr
0	0	569.5	0.53029	302	101-c-1.cpp	103-c-1.cpp
0	0	570.5	0.527607	301	101-c-1.cpp	103-c-2.cpp
0	0	579.5	0.533218	309	101-c-1.cpp	103-c-3.cpp
0	0	540.5	0.66975	362	101-c-1.cpp	105-c-1.cpp
0	0	540.5	0.66975	362	101-c-1.cpp	105-c-2.cpp
0	0	626	0.517572	324	101-c-1.cpp	106-c-1.cpp
0	0	607	0.537068	326	101-c-1.cpp	107-c-1.cpp
0	0	607	0.537068	326	101-c-1.cpp	107-c-2.cpp
0	0	693.5	0.540735	375	101-c-1.cpp	109-c-1.cpp
0	0	742.5	0.550842	409	101-c-1.cpp	109-c-2.cpp
0	0	760	0.565789	430	101-c-1.cpp	109-c-3.cpp
0	0	787	0.585769	461	101-c-1.cpp	109-c-4.cpp
0	0	808	0.602723	487	101-c-1.cpp	109-c-5.cpp
0	0	801	0.595506	477	101-c-1.cpp	109-c-6.cpp
0	0	806.5	0.600124	484	101-c-1.cpp	109-c-7.cpp
0	0	640	0.492188	315	101-c-1.cpp	110-c-1.cpp
0	0	640	0.492188	315	101-c-1.cpp	110-c-2.cpp
0	0	484.5	0.939112	455	101-c-1.cpp	112-c-1.pas
0	0	540	0.735185	397	101-c-1.cpp	112-c-2.pas
0	0	541	0.731978	396	101-c-1.cpp	112-c-3.pas
0	0	544.5	0.725436	395	101-c-1.cpp	112-c-4.pas
0	0	543.5	0.728611	396	101-c-1.cpp	112-c-5.pas
0	0	659	0.514416	339	101-c-1.cpp	113-c-1.cpp
0	0	647.5	0.517375	335	101-c-1.cpp	113-c-10.cpp
0	0	655.5	0.515637	338	101-c-1.cpp	113-c-11.cpp
0	0	630.5	0.529738	334	101-c-1.cpp	113-c-2.cpp
0	0	636.5	0.527887	336	101-c-1.cpp	113-c-3.cpp
0	0	650.5	0.511914	333	101-c-1.cpp	113-c-4.cpp
0	0	650.5	0.511914	333	101-c-1.cpp	113-c-5.cpp
0	0	643.5	0.511267	329	101-c-1.cpp	113-c-6.cpp
0	0	648.5	0.519661	337	101-c-1.cpp	113-c-7.cpp
0	0	648.5	0.519661	337	101-c-1.cpp	113-c-8.cpp
0	0	653.5	0.523336	342	101-c-1.cpp	113-c-9.cpp
0	0	558	0.641577	358	101-c-1.cpp	114-c-1.cpp
0	0	516.5	0.826718	427	101-c-1.cpp	202-c-1.py
0	0	516.5	0.826718	427	101-c-1.cpp	202-c-2.py
0	0	521.5	0.814957	425	101-c-1.cpp	202-c-3.py
0	0	521.5	0.814957	425	101-c-1.cpp	202-c-4.py
0	0	519.5	0.820019	426	101-c-1.cpp	202-c-5.py
0	0	520.5	0.816523	425	101-c-1.cpp	202-c-6.py
0	0	414.5	1.32449	549	101-c-1.cpp	203-c-1.cpp
0	0	600	0.501667	301	101-c-1.cpp	205-c-1.cpp
0	0	602.5	0.501245	302	101-c-1.cpp	205-c-2.cpp
0	0	604	0.501656	303	101-c-1.cpp	205-c-3.cpp
0	0	601	0.502496	302	101-c-1.cpp	205-c-4.cpp
0	0	601	0.50416	303	101-c-1.cpp	205-c-5.cpp
0	0	587.5	0.539574	317	101-c-1.cpp	213-c-1.cpp
0	0	590.5	0.531753	314	101-c-1.cpp	213-c-2.cpp
0	0	589	0.534805	315	101-c-1.cpp	213-c-3.cpp
0	0	607.5	0.559671	340	101-c-1.cpp	215-c-1.cpp
0	0	609	0.561576	342	101-c-1.cpp	215-c-2.cpp
0	0	610	0.560656	342	101-c-1.cpp	215-c-3.cpp
0	0	445	1.11236	495	101-c-1.cpp	217-c-1.cpp
0	0	448	1.10045	493	101-c-1.cpp	217-c-2.cpp
0	0	462.5	1.01838	471	101-c-1.cpp	217-c-3.cpp
0	0	568.5	0.608619	346	101-c-1.cpp	218-c-1.cpp
0	0	568.5	0.608619	346	101-c-1.cpp	218-c-2.cpp
0	0	709	0.533145	378	101-c-1.cpp	219-c-1.cpp
0	0	716.5	0.540126	387	101-c-1.cpp	219-c-2.cpp
0	0	727	0.554333	403	101-c-1.cpp	219-c-3.cpp
0	0	741.5	0.55563	412	101-c-1.cpp	219-c-4.cpp
0	0	454.5	1.0341	470	101-c-1.cpp	219-c-5.cpp
0	0	749	0.566088	424	101-c-1.cpp	219-c-6.cpp
0	0	747.5	0.544482	407	101-c-1.cpp	219-c-7.cpp
0	0	479	0.929019	445	101-c-1.cpp	221-c-1.cpp
0	0	499.5	0.838839	419	101-c-1.cpp	221-c-2.cpp
0	0	581	0.619621	360	101-c-1.cpp	303-c-1.dpr
0	0	585.5	0.611443	358	101-c-1.cpp	303-c-2.dpr
0	0	585.5	0.611443	358	101-c-1.cpp	303-c-3.dpr
0	0	585.5	0.611443	358	101-c-1.cpp	303-c-4.dpr
0	0	585.5	0.611443	358	101-c-1.cpp	303-c-5.dpr
0	0	665	0.55188	367	101-c-1.cpp	304-c-1.pas
0	0	592	0.640203	379	101-c-1.cpp	402-c-1.py
0	0	593	0.642496	381	101-c-1.cpp	402-c-2.py
0	0	593	0.642496	381	101-c-1.cpp	402-c-3.py
0	0	594	0.641414	381	101-c-1.cpp	402-c-4.py
0	0	462	1.0303	476	101-c-1.cpp	404-c-1.cpp
0	0	529	0.724008	383	101-c-1.cpp	404-c-2.cpp
0	0	471	0.983015	463	101-c-1.cpp	404-c-3.cpp
0	0	486.5	0.90853	442	101-c-1.cpp	404-c-4.cpp
0	0	554.5	0.611362	339	101-c-1.cpp	409-c-1.cpp
0	0	555	0.614414	341	101-c-1.cpp	409-c-2.cpp
