Ans	Guess	Size	DistRatio	Dist	I	J
0	0	591	0.624365	369	101-f-1.cpp	103-f-1.cpp
0	0	559.5	0.571939	320	101-f-1.cpp	105-f-1.cpp
0	0	559.5	0.580876	325	101-f-1.cpp	105-f-10.cpp
0	0	559.5	0.580876	325	101-f-1.cpp	105-f-11.cpp
0	0	569.5	0.595259	339	101-f-1.cpp	105-f-2.cpp
0	0	560.5	0.590544	331	101-f-1.cpp	105-f-3.cpp
0	0	568.5	0.599824	341	101-f-1.cpp	105-f-4.cpp
0	0	573.5	0.603313	346	101-f-1.cpp	105-f-5.cpp
0	0	545	0.566972	309	101-f-1.cpp	105-f-6.cpp
0	0	559.5	0.580876	325	101-f-1.cpp	105-f-7.cpp
0	0	559.5	0.580876	325	101-f-1.cpp	105-f-8.cpp
0	0	559.5	0.580876	325	101-f-1.cpp	105-f-9.cpp
0	0	595	0.636975	379	101-f-1.cpp	107-f-1.cpp
0	0	595	0.636975	379	101-f-1.cpp	107-f-2.cpp
0	0	595	0.636975	379	101-f-1.cpp	107-f-3.cpp
0	0	596	0.639262	381	101-f-1.cpp	107-f-4.cpp
0	0	603	0.6534	394	101-f-1.cpp	107-f-5.cpp
0	0	603	0.6534	394	101-f-1.cpp	107-f-6.cpp
0	0	573.5	0.608544	349	101-f-1.cpp	114-f-1.cpp
0	0	749	0.854473	640	101-f-1.cpp	205-f-1.cpp
0	0	622.5	0.730924	455	101-f-1.cpp	304-f-1.pas
0	0	633.5	0.748224	474	101-f-1.cpp	304-f-2.pas
0	0	733.5	0.877982	644	101-f-1.cpp	304-f-3.pas
0	0	734	0.878747	645	101-f-1.cpp	304-f-4.pas
0	0	697	0.786227	548	101-f-1.cpp	412-f-1.cpp
0	0	700	0.788571	552	101-f-1.cpp	412-f-2.cpp
0	0	717	0.8159	585	101-f-1.cpp	412-f-3.cpp
0	0	713	0.812062	579	101-f-1.cpp	412-f-4.cpp
0	0	814	0.954545	777	101-f-1.cpp	413-f-1.cpp
0	0	819.5	0.960342	787	101-f-1.cpp	413-f-10.cpp
0	0	819.5	0.960342	787	101-f-1.cpp	413-f-11.cpp
0	0	825.5	0.966687	798	101-f-1.cpp	413-f-12.cpp
0	0	825.5	0.966687	798	101-f-1.cpp	413-f-13.cpp
0	0	831.5	0.97294	809	101-f-1.cpp	413-f-14.cpp
0	0	831.5	0.97294	809	101-f-1.cpp	413-f-15.cpp
0	0	814	0.954545	777	101-f-1.cpp	413-f-2.cpp
0	0	814	0.954545	777	101-f-1.cpp	413-f-3.cpp
0	0	814.5	0.953959	777	101-f-1.cpp	413-f-4.cpp
0	0	814.5	0.953959	777	101-f-1.cpp	413-f-5.cpp
0	0	814.5	0.953959	777	101-f-1.cpp	413-f-6.cpp
0	0	814.5	0.953959	777	101-f-1.cpp	413-f-7.cpp
0	0	814.5	0.953959	777	101-f-1.cpp	413-f-8.cpp
0	0	819.5	0.960342	787	101-f-1.cpp	413-f-9.cpp
0	0	717	0.838215	601	101-f-1.cpp	418-f-1.cpp
0	0	705	0.822695	580	101-f-1.cpp	418-f-2.cpp
0	0	719	0.840056	604	101-f-1.cpp	418-f-3.cpp
0	0	717	0.839609	602	101-f-1.cpp	418-f-4.cpp
0	0	720	0.841667	606	101-f-1.cpp	418-f-5.cpp
0	0	720	0.841667	606	101-f-1.cpp	418-f-6.cpp
0	0	719.5	0.840862	605	101-f-1.cpp	418-f-7.cpp
0	0	719.5	0.839472	604	101-f-1.cpp	418-f-8.cpp
0	0	597.5	0.627615	375	101-f-1.cpp	518-f-1.cpp
0	0	521	0.554702	289	101-f-1.cpp	520-f-1.cpp
0	0	514	0.546693	281	101-f-1.cpp	520-f-10.cpp
0	0	519	0.549133	285	101-f-1.cpp	520-f-11.cpp
0	0	517.5	0.550725	285	101-f-1.cpp	520-f-2.cpp
0	0	505	0.538614	272	101-f-1.cpp	520-f-3.cpp
0	0	505	0.538614	272	101-f-1.cpp	520-f-4.cpp
0	0	514	0.546693	281	101-f-1.cpp	520-f-5.cpp
0	0	514	0.546693	281	101-f-1.cpp	520-f-6.cpp
0	0	515.5	0.547042	282	101-f-1.cpp	520-f-7.cpp
0	0	515.5	0.547042	282	101-f-1.cpp	520-f-8.cpp
0	0	514	0.546693	281	101-f-1.cpp	520-f-9.cpp
0	0	378.5	0.877147	332	101-f-1.cpp	jury-f-1.java
0	0	245.5	2	491	101-f-1.cpp	k42-f-2.cpp
0	0	245.5	2	491	101-f-1.cpp	k42-f-3.cpp
0	0	245.5	2	491	101-f-1.cpp	k42-f-4.cpp
0	0	659.5	0.542835	358	103-f-1.cpp	105-f-1.cpp
0	0	659.5	0.547384	361	103-f-1.cpp	105-f-10.cpp
0	0	659.5	0.547384	361	103-f-1.cpp	105-f-11.cpp
0	0	669.5	0.545183	365	103-f-1.cpp	105-f-2.cpp
0	0	660.5	0.549584	363	103-f-1.cpp	105-f-3.cpp
0	0	668.5	0.545999	365	103-f-1.cpp	105-f-4.cpp
0	0	673.5	0.549369	370	103-f-1.cpp	105-f-5.cpp
0	0	645	0.570543	368	103-f-1.cpp	105-f-6.cpp
0	0	659.5	0.547384	361	103-f-1.cpp	105-f-7.cpp
0	0	659.5	0.547384	361	103-f-1.cpp	105-f-8.cpp
0	0	659.5	0.547384	361	103-f-1.cpp	105-f-9.cpp
0	0	695	0.539568	375	103-f-1.cpp	107-f-1.cpp
0	0	695	0.539568	375	103-f-1.cpp	107-f-2.cpp
0	0	695	0.539568	375	103-f-1.cpp	107-f-3.cpp
0	0	696	0.54023	376	103-f-1.cpp	107-f-4.cpp
0	0	703	0.54623	384	103-f-1.cpp	107-f-5.cpp
0	0	703	0.54623	384	103-f-1.cpp	107-f-6.cpp
0	0	673.5	0.553823	373	103-f-1.cpp	114-f-1.cpp
0	0	849	0.6702	569	103-f-1.cpp	205-f-1.cpp
0	0	722.5	0.582699	421	103-f-1.cpp	304-f-1.pas
0	0	733.5	0.59032	433	103-f-1.cpp	304-f-2.pas
0	0	833.5	0.683863	570	103-f-1.cpp	304-f-3.pas
0	0	834	0.682254	569	103-f-1.cpp	304-f-4.pas
0	0	797	0.59473	474	103-f-1.cpp	412-f-1.cpp
0	0	800	0.59875	479	103-f-1.cpp	412-f-2.cpp
0	0	817	0.605875	495	103-f-1.cpp	412-f-3.cpp
0	0	813	0.600246	488	103-f-1.cpp	412-f-4.cpp
0	0	914	0.762582	697	103-f-1.cpp	413-f-1.cpp
0	0	919.5	0.765633	704	103-f-1.cpp	413-f-10.cpp
0	0	919.5	0.765633	704	103-f-1.cpp	413-f-11.cpp
0	0	925.5	0.770394	713	103-f-1.cpp	413-f-12.cpp
0	0	925.5	0.770394	713	103-f-1.cpp	413-f-13.cpp
0	0	931.5	0.772947	720	103-f-1.cpp	413-f-14.cpp
0	0	931.5	0.772947	720	103-f-1.cpp	413-f-15.cpp
0	0	914	0.762582	697	103-f-1.cpp	413-f-2.cpp
0	0	914	0.762582	697	103-f-1.cpp	413-f-3.cpp
0	0	914.5	0.762165	697	103-f-1.cpp	413-f-4.cpp
0	0	914.5	0.762165	697	103-f-1.cpp	413-f-5.cpp
0	0	914.5	0.762165	697	103-f-1.cpp	413-f-6.cpp
0	0	914.5	0.762165	697	103-f-1.cpp	413-f-7.cpp
0	0	914.5	0.762165	697	103-f-1.cpp	413-f-8.cpp
0	0	919.5	0.765633	704	103-f-1.cpp	413-f-9.cpp
0	0	817	0.687882	562	103-f-1.cpp	418-f-1.cpp
0	0	805	0.678261	546	103-f-1.cpp	418-f-2.cpp
0	0	819	0.689866	565	103-f-1.cpp	418-f-3.cpp
0	0	817	0.686659	561	103-f-1.cpp	418-f-4.cpp
0	0	820	0.687805	564	103-f-1.cpp	418-f-5.cpp
0	0	820	0.686585	563	103-f-1.cpp	418-f-6.cpp
0	0	819.5	0.687004	563	103-f-1.cpp	418-f-7.cpp
0	0	819.5	0.685784	562	103-f-1.cpp	418-f-8.cpp
0	0	697.5	0.508961	355	103-f-1.cpp	518-f-1.cpp
0	0	621	0.553945	344	103-f-1.cpp	520-f-1.cpp
0	0	614	0.570033	350	103-f-1.cpp	520-f-10.cpp
0	0	619	0.565428	350	103-f-1.cpp	520-f-11.cpp
0	0	617.5	0.568421	351	103-f-1.cpp	520-f-2.cpp
0	0	605	0.593388	359	103-f-1.cpp	520-f-3.cpp
0	0	605	0.593388	359	103-f-1.cpp	520-f-4.cpp
0	0	614	0.570033	350	103-f-1.cpp	520-f-5.cpp
0	0	614	0.570033	350	103-f-1.cpp	520-f-6.cpp
0	0	615.5	0.567019	349	103-f-1.cpp	520-f-7.cpp
0	0	615.5	0.567019	349	103-f-1.cpp	520-f-8.cpp
0	0	614	0.570033	350	103-f-1.cpp	520-f-9.cpp
0	0	478.5	1.07001	512	103-f-1.cpp	jury-f-1.java
0	0	345.5	2	691	103-f-1.cpp	k42-f-2.cpp
0	0	345.5	2	691	103-f-1.cpp	k42-f-3.cpp
0	0	345.5	2	691	103-f-1.cpp	k42-f-4.cpp
1	1	628	0.159236	100	105-f-1.cpp	105-f-10.cpp
1	1	628	0.159236	100	105-f-1.cpp	105-f-11.cpp
1	1	638	0.0721003	46	105-f-1.cpp	105-f-2.cpp
1	1	629	0.108108	68	105-f-1.cpp	105-f-3.cpp
1	1	637	0.103611	66	105-f-1.cpp	105-f-4.cpp
1	1	642	0.113707	73	105-f-1.cpp	105-f-5.cpp
1	1	613.5	0.138549	85	105-f-1.cpp	105-f-6.cpp
1	1	628	0.159236	100	105-f-1.cpp	105-f-7.cpp
1	1	628	0.159236	100	105-f-1.cpp	105-f-8.cpp
1	1	628	0.159236	100	105-f-1.cpp	105-f-9.cpp
0	0	663.5	0.545592	362	105-f-1.cpp	107-f-1.cpp
0	0	663.5	0.545592	362	105-f-1.cpp	107-f-2.cpp
0	0	663.5	0.545592	362	105-f-1.cpp	107-f-3.cpp
0	0	664.5	0.546275	363	105-f-1.cpp	107-f-4.cpp
0	0	671.5	0.551005	370	105-f-1.cpp	107-f-5.cpp
0	0	671.5	0.551005	370	105-f-1.cpp	107-f-6.cpp
0	0	642	0.566978	364	105-f-1.cpp	114-f-1.cpp
0	0	817.5	0.703364	575	105-f-1.cpp	205-f-1.cpp
0	0	691	0.628075	434	105-f-1.cpp	304-f-1.pas
0	0	702	0.636752	447	105-f-1.cpp	304-f-2.pas
0	0	802	0.741895	595	105-f-1.cpp	304-f-3.pas
0	0	802.5	0.741433	595	105-f-1.cpp	304-f-4.pas
0	0	765.5	0.646636	495	105-f-1.cpp	412-f-1.cpp
0	0	768.5	0.649317	499	105-f-1.cpp	412-f-2.cpp
