Ans	Guess	Size	DistRatio	Dist	I	J
0	0	1154	0.739168	853	102-j-1.dpr	103-j-1.cpp
0	0	1430	0.605594	866	102-j-1.dpr	104-j-1.cpp
0	0	1430	0.605594	866	102-j-1.dpr	104-j-2.cpp
0	0	1448	0.609116	882	102-j-1.dpr	104-j-3.cpp
0	0	1415	0.611307	865	102-j-1.dpr	104-j-4.cpp
0	0	1151	0.674196	776	102-j-1.dpr	105-j-1.cpp
0	0	1300	0.581538	756	102-j-1.dpr	105-j-2.cpp
0	0	1164.5	0.670674	781	102-j-1.dpr	106-j-1.cpp
0	0	1152	0.686632	791	102-j-1.dpr	106-j-2.cpp
0	0	1166	0.671527	783	102-j-1.dpr	106-j-3.cpp
0	0	1166	0.671527	783	102-j-1.dpr	106-j-4.cpp
0	0	1168	0.671233	784	102-j-1.dpr	106-j-5.cpp
0	0	1122	0.714795	802	102-j-1.dpr	107-j-1.cpp
0	0	1137.5	0.700659	797	102-j-1.dpr	107-j-2.cpp
0	0	1141	0.694128	792	102-j-1.dpr	107-j-3.cpp
0	0	1565	0.646006	1011	102-j-1.dpr	109-j-1.cpp
0	0	1228.5	0.658527	809	102-j-1.dpr	110-j-1.cpp
0	0	1743.5	0.739317	1289	102-j-1.dpr	110-j-2.cpp
0	0	2138	0.902713	1930	102-j-1.dpr	110-j-3.cpp
0	0	2138.5	0.902969	1931	102-j-1.dpr	110-j-4.cpp
0	0	1132.5	0.709934	804	102-j-1.dpr	114-j-1.cpp
0	0	1137.5	0.707692	805	102-j-1.dpr	114-j-2.cpp
0	0	1136.5	0.709195	806	102-j-1.dpr	114-j-3.cpp
0	0	1142	0.703152	803	102-j-1.dpr	114-j-4.cpp
0	0	1324.5	0.582106	771	102-j-1.dpr	114-j-5.cpp
0	0	1083.5	0.786341	852	102-j-1.dpr	202-j-1.py
0	0	1191	0.649034	773	102-j-1.dpr	208-j-1.cpp
0	0	1191	0.649034	773	102-j-1.dpr	208-j-2.cpp
0	0	1191	0.649034	773	102-j-1.dpr	208-j-3.cpp
0	0	1200.5	0.643898	773	102-j-1.dpr	208-j-4.cpp
0	0	1198.5	0.644973	773	102-j-1.dpr	208-j-5.cpp
0	0	1560.5	0.652996	1019	102-j-1.dpr	209-j-1.cpp
