Ans	Guess	Size	DistRatio	Dist	I	J
0	0	510	0.790196	403	215-k-1.cpp	217-k-1.cpp
0	0	509.5	0.790972	403	215-k-1.cpp	217-k-2.cpp
0	0	509.5	0.790972	403	215-k-1.cpp	217-k-3.cpp
0	0	511.5	0.785924	402	215-k-1.cpp	217-k-4.cpp
0	0	514.5	0.789116	406	215-k-1.cpp	217-k-5.cpp
0	0	417.5	0.661078	276	215-k-1.cpp	304-k-1.pas
0	0	417.5	0.661078	276	215-k-1.cpp	304-k-2.pas
0	0	515	0.786408	405	215-k-1.cpp	423-k-1.cpp
0	0	515	0.786408	405	215-k-1.cpp	423-k-2.cpp
0	0	199.5	1.69424	338	215-k-1.cpp	507-k-1.cpp
0	0	202.5	1.63951	332	215-k-1.cpp	507-k-2.cpp
0	0	202.5	1.63951	332	215-k-1.cpp	507-k-3.cpp
0	0	202.5	1.63951	332	215-k-1.cpp	507-k-4.cpp
0	0	202.5	1.63951	332	215-k-1.cpp	507-k-5.cpp
0	0	202.5	1.63951	332	215-k-1.cpp	507-k-6.cpp
0	0	465	0.694624	323	215-k-1.cpp	508-k-1.cpp
0	0	707.5	1.13498	803	215-k-1.cpp	511-k-1.pas
0	0	751.5	1.17232	881	215-k-1.cpp	511-k-2.pas
0	0	751.5	1.17232	881	215-k-1.cpp	511-k-3.pas
0	0	751.5	1.17232	881	215-k-1.cpp	511-k-4.pas
0	0	751.5	1.17232	881	215-k-1.cpp	511-k-5.pas
0	0	751.5	1.17232	881	215-k-1.cpp	511-k-6.pas
0	0	818.5	1.21197	992	215-k-1.cpp	jury-k-1.java
0	0	470.5	0.737513	347	215-k-1.cpp	jury-k-2.java
0	0	407.5	0.598773	244	215-k-1.cpp	k19-k-1.cpp
0	0	395.5	0.611884	242	215-k-1.cpp	k19-k-10.cpp
0	0	408.5	0.599755	245	215-k-1.cpp	k19-k-2.cpp
0	0	405.5	0.594328	241	215-k-1.cpp	k19-k-3.cpp
0	0	395	0.607595	240	215-k-1.cpp	k19-k-4.cpp
0	0	399	0.62406	249	215-k-1.cpp	k19-k-5.cpp
0	0	383	0.592689	227	215-k-1.cpp	k19-k-6.cpp
0	0	424	0.665094	282	215-k-1.cpp	k19-k-7.cpp
0	0	384	0.591146	227	215-k-1.cpp	k19-k-8.cpp
0	0	395.5	0.611884	242	215-k-1.cpp	k19-k-9.cpp
0	0	206	1.57282	324	215-k-1.cpp	k25-k-1.cpp
0	0	253.5	1.10848	281	215-k-1.cpp	k42-k-1.cpp
0	0	184	2	368	215-k-1.cpp	k42-k-2.cpp
1	1	651.5	0.00306984	2	217-k-1.cpp	217-k-2.cpp
1	1	651.5	0.00306984	2	217-k-1.cpp	217-k-3.cpp
1	1	653.5	0.186687	122	217-k-1.cpp	217-k-4.cpp
1	1	656.5	0.194973	128	217-k-1.cpp	217-k-5.cpp
0	0	559.5	0.663092	371	217-k-1.cpp	304-k-1.pas
0	0	559.5	0.664879	372	217-k-1.cpp	304-k-2.pas
0	0	657	0.508371	334	217-k-1.cpp	423-k-1.cpp
0	0	657	0.508371	334	217-k-1.cpp	423-k-2.cpp
0	0	341.5	1.82138	622	217-k-1.cpp	507-k-1.cpp
0	0	344.5	1.7881	616	217-k-1.cpp	507-k-2.cpp
0	0	344.5	1.7881	616	217-k-1.cpp	507-k-3.cpp
0	0	344.5	1.7881	616	217-k-1.cpp	507-k-4.cpp
0	0	344.5	1.7881	616	217-k-1.cpp	507-k-5.cpp
0	0	344.5	1.7881	616	217-k-1.cpp	507-k-6.cpp
0	0	607	0.525535	319	217-k-1.cpp	508-k-1.cpp
0	0	849.5	0.75927	645	217-k-1.cpp	511-k-1.pas
0	0	893.5	0.806939	721	217-k-1.cpp	511-k-2.pas
