Ans	Guess	Size	DistRatio	Dist	I	J
0	0	770	0.651948	502	11257.cpp	11269.cpp
0	0	1124	0.818505	920	11257.cpp	12707.java
0	0	810	0.676543	548	11257.cpp	13106.cpp
0	0	676.5	0.724316	490	11257.cpp	13654.cpp
0	0	802.5	0.629283	505	11257.cpp	13871.c
0	0	648.5	0.812645	527	11257.cpp	14199.cpp
0	0	810	0.676543	548	11257.cpp	16060.cpp
0	0	768.5	0.638907	491	11257.cpp	1703.cpp
0	0	856.5	0.630473	540	11257.cpp	17153.c
0	0	674	0.735905	496	11257.cpp	17449.cpp
0	0	832	0.634615	528	11257.cpp	18327.cpp
0	0	659.5	0.785444	518	11257.cpp	20869.cpp
0	0	931.5	0.698873	651	11257.cpp	21815.cpp
0	0	668.5	0.768886	514	11257.cpp	22458.cpp
0	0	654.5	0.812834	532	11257.cpp	22876.cpp
0	0	1035.5	0.750362	777	11257.cpp	24446.java
0	0	599.5	0.900751	540	11257.cpp	24458.cpp
0	0	893	0.679731	607	11257.cpp	25754.cpp
0	0	632	0.857595	542	11257.cpp	25761.cpp
0	0	575	0.982609	565	11257.cpp	26301.cpp
0	0	708	0.714689	506	11257.cpp	26887.cpp
0	0	635.5	0.813533	517	11257.cpp	27096.cpp
0	0	740	0.675676	500	11257.cpp	30041.cs
0	0	503.5	1.32671	668	11257.cpp	31677.cpp
0	0	739	0.677943	501	11257.cpp	32223.cs
0	0	821	0.615104	505	11257.cpp	32257.cpp
0	0	731	0.70041	512	11257.cpp	3368.cpp
0	0	642	0.817757	525	11257.cpp	4714.cpp
0	0	692	0.739884	512	11257.cpp	5534.cpp
0	0	657.5	0.793916	522	11257.cpp	586.cpp
0	0	727	0.672627	489	11257.cpp	5987.cpp
0	0	654.5	0.812834	532	11257.cpp	6957.cpp
0	0	683.5	0.737381	504	11257.cpp	7448.cpp
0	0	870.5	0.645606	562	11257.cpp	8686.cpp
0	0	783	0.667944	523	11257.cpp	8749.cpp
0	0	699.5	0.626162	438	11257.cpp	926.cpp
0	0	672.5	0.75539	508	11257.cpp	9879.cpp
0	0	1076	0.891264	959	11269.cpp	12707.java
0	0	762	0.64042	488	11269.cpp	13106.cpp
0	0	628.5	0.617343	388	11269.cpp	13654.cpp
0	0	754.5	0.601723	454	11269.cpp	13871.c
0	0	600.5	0.724396	435	11269.cpp	14199.cpp
0	0	762	0.64042	488	11269.cpp	16060.cpp
0	0	720.5	0.612075	441	11269.cpp	1703.cpp
0	0	808.5	0.615955	498	11269.cpp	17153.c
0	0	626	0.666134	417	11269.cpp	17449.cpp
0	0	784	0.568878	446	11269.cpp	18327.cpp
0	0	611.5	0.703189	430	11269.cpp	20869.cpp
0	0	883.5	0.713073	630	11269.cpp	21815.cpp
0	0	620.5	0.691378	429	11269.cpp	22458.cpp
0	0	606.5	0.707337	429	11269.cpp	22876.cpp
0	0	987.5	0.812152	802	11269.cpp	24446.java
0	0	551.5	0.821396	453	11269.cpp	24458.cpp
0	0	845	0.674556	570	11269.cpp	25754.cpp
0	0	584	0.77226	451	11269.cpp	25761.cpp
0	0	527	0.893738	471	11269.cpp	26301.cpp
0	0	660	0.612121	404	11269.cpp	26887.cpp
0	0	587.5	0.66383	390	11269.cpp	27096.cpp
0	0	692	0.632948	438	11269.cpp	30041.cs
0	0	455.5	1.22942	560	11269.cpp	31677.cpp
0	0	691	0.633864	438	11269.cpp	32223.cs
0	0	773	0.601552	465	11269.cpp	32257.cpp
0	0	683	0.61347	419	11269.cpp	3368.cpp
0	0	594	0.717172	426	11269.cpp	4714.cpp
0	0	644	0.653727	421	11269.cpp	5534.cpp
0	0	609.5	0.705496	430	11269.cpp	586.cpp
0	0	679	0.618557	420	11269.cpp	5987.cpp
0	0	606.5	0.707337	429	11269.cpp	6957.cpp
0	0	635.5	0.645161	410	11269.cpp	7448.cpp
0	0	822.5	0.607903	500	11269.cpp	8686.cpp
0	0	735	0.610884	449	11269.cpp	8749.cpp
0	0	651.5	0.629317	410	11269.cpp	926.cpp
0	0	624.5	0.661329	413	11269.cpp	9879.cpp
0	0	1116	0.812724	907	12707.java	13106.cpp
0	0	982.5	1.0402	1022	12707.java	13654.cpp
0	0	1108.5	0.828146	918	12707.java	13871.c
0	0	954.5	1.11472	1064	12707.java	14199.cpp
0	0	1116	0.812724	907	12707.java	16060.cpp
