Ans	Guess	Size	DistRatio	Dist	I	J
0	0	240.5	0.602911	145	104-c-1.cpp	107-c-1.cpp
0	0	239.5	0.597077	143	104-c-1.cpp	107-c-2.cpp
0	0	299.5	0.861436	258	104-c-1.cpp	116-c-1.dpr
0	0	183	0.688525	126	104-c-1.cpp	214-c-1.c
0	0	183	0.688525	126	104-c-1.cpp	214-c-2.c
0	0	188	0.5	94	104-c-1.cpp	218-c-1.cpp
0	0	202	0.455446	92	104-c-1.cpp	218-c-2.cpp
0	0	756	1.50265	1136	104-c-1.cpp	302-c-1.java
0	0	748.5	1.49766	1121	104-c-1.cpp	302-c-2.java
0	0	206.5	0.40678	84	104-c-1.cpp	306-c-1.cpp
0	0	165	0.648485	107	104-c-1.cpp	308-c-1.pas
0	0	235	0.655319	154	104-c-1.cpp	308-c-2.pas
0	0	226	0.615044	139	104-c-1.cpp	310-c-1.pas
0	0	230	0.621739	143	104-c-1.cpp	310-c-2.pas
0	0	197.5	0.511392	101	104-c-1.cpp	401-c-1.cpp
0	0	201	0.597015	120	104-c-1.cpp	406-c-1.cpp
0	0	201	0.597015	120	104-c-1.cpp	406-c-2.cpp
0	0	198	0.540404	107	104-c-1.cpp	419-c-1.dpr
0	0	224.5	0.565702	127	104-c-1.cpp	501-c-1.cpp
0	0	261	0.720307	188	104-c-1.cpp	513-c-1.cpp
0	0	261.5	0.722753	189	104-c-1.cpp	513-c-2.cpp
0	0	267	0.741573	198	104-c-1.cpp	513-c-3.cpp
0	0	221	0.561086	124	104-c-1.cpp	520-c-1.cpp
1	1	282	0.0851064	24	107-c-1.cpp	107-c-2.cpp
0	0	342	0.640351	219	107-c-1.cpp	116-c-1.dpr
0	0	225.5	0.820399	185	107-c-1.cpp	214-c-1.c
0	0	225.5	0.820399	185	107-c-1.cpp	214-c-2.c
0	0	230.5	0.663774	153	107-c-1.cpp	218-c-1.cpp
0	0	244.5	0.629857	154	107-c-1.cpp	218-c-2.cpp
0	0	798.5	1.32498	1058	107-c-1.cpp	302-c-1.java
0	0	791	1.31985	1044	107-c-1.cpp	302-c-2.java
0	0	249	0.598394	149	107-c-1.cpp	306-c-1.cpp
0	0	207.5	0.838554	174	107-c-1.cpp	308-c-1.pas
0	0	277.5	0.547748	152	107-c-1.cpp	308-c-2.pas
0	0	268.5	0.577281	155	107-c-1.cpp	310-c-1.pas
0	0	272.5	0.568807	155	107-c-1.cpp	310-c-2.pas
0	0	240	0.629167	151	107-c-1.cpp	401-c-1.cpp
0	0	243.5	0.722793	176	107-c-1.cpp	406-c-1.cpp
