Ans	Guess	Size	DistRatio	Dist	I	J
0	0	355.5	0.610408	217	101-e-1.cpp	102-e-1.cs
0	0	357	0.621849	222	101-e-1.cpp	102-e-2.cs
0	0	357	0.621849	222	101-e-1.cpp	102-e-3.cs
0	0	354.5	0.609309	216	101-e-1.cpp	102-e-4.cs
0	0	302.5	0.601653	182	101-e-1.cpp	104-e-1.cpp
0	0	316.5	0.505529	160	101-e-1.cpp	104-e-2.cpp
0	0	348	0.574713	200	101-e-1.cpp	104-e-3.cpp
0	0	333	0.627628	209	101-e-1.cpp	104-e-4.cpp
0	0	347	0.573487	199	101-e-1.cpp	104-e-5.cpp
0	0	323.5	0.472952	153	101-e-1.cpp	106-e-1.cpp
0	0	350.5	0.482168	169	101-e-1.cpp	106-e-2.cpp
0	0	350.5	0.482168	169	101-e-1.cpp	106-e-3.cpp
0	0	293	0.593857	174	101-e-1.cpp	107-e-1.cpp
0	0	400	0.7325	293	101-e-1.cpp	109-e-1.cpp
0	0	404	0.740099	299	101-e-1.cpp	109-e-2.cpp
0	0	432.5	0.804624	348	101-e-1.cpp	109-e-3.cpp
0	0	444	0.824324	366	101-e-1.cpp	109-e-4.java
0	0	444	0.824324	366	101-e-1.cpp	109-e-5.java
0	0	447.5	0.824581	369	101-e-1.cpp	109-e-6.java
0	0	415.5	0.702768	292	101-e-1.cpp	110-e-1.cs
0	0	423.5	0.713105	302	101-e-1.cpp	110-e-2.cs
0	0	390.5	0.629962	246	101-e-1.cpp	112-e-1.cpp
0	0	376.5	0.632138	238	101-e-1.cpp	112-e-2.cpp
0	0	400.5	0.684145	274	101-e-1.cpp	112-e-3.cpp
0	0	461	0.813449	375	101-e-1.cpp	113-e-1.cpp
0	0	462	0.816017	377	101-e-1.cpp	113-e-2.cpp
0	0	416	0.735577	306	101-e-1.cpp	113-e-3.cpp
0	0	372	0.672043	250	101-e-1.cpp	113-e-4.cpp
0	0	376.5	0.669323	252	101-e-1.cpp	113-e-5.cpp
0	0	381	0.671916	256	101-e-1.cpp	113-e-6.cpp
0	0	463.5	0.819849	380	101-e-1.cpp	113-e-7.cpp
0	0	480	0.85	408	101-e-1.cpp	113-e-8.cpp
0	0	544	0.996324	542	101-e-1.cpp	114-e-1.java
0	0	433.5	0.740484	321	101-e-1.cpp	114-e-10.cpp
0	0	438	0.748858	328	101-e-1.cpp	114-e-11.cpp
0	0	423.5	0.727273	308	101-e-1.cpp	114-e-12.cpp
0	0	521	0.952015	496	101-e-1.cpp	114-e-2.java
0	0	522	0.954023	498	101-e-1.cpp	114-e-3.java
0	0	552	1.00906	557	101-e-1.cpp	114-e-4.java
0	0	554	1.01264	561	101-e-1.cpp	114-e-5.java
0	0	587	1.05792	621	101-e-1.cpp	114-e-6.java
0	0	529	0.943289	499	101-e-1.cpp	114-e-7.java
0	0	538	0.960967	517	101-e-1.cpp	114-e-8.java
0	0	538	0.962825	518	101-e-1.cpp	114-e-9.java
0	0	455	0.848352	386	101-e-1.cpp	116-e-1.cpp
0	0	407.5	0.682209	278	101-e-1.cpp	203-e-1.java
0	0	371.5	0.58681	218	101-e-1.cpp	203-e-2.java
0	0	381	0.608924	232	101-e-1.cpp	203-e-3.java
0	0	398.5	0.672522	268	101-e-1.cpp	206-e-1.cpp
0	0	399	0.669173	267	101-e-1.cpp	206-e-2.cpp
0	0	388.5	0.751609	292	101-e-1.cpp	207-e-1.dpr
0	0	389	0.753213	293	101-e-1.cpp	207-e-2.dpr
0	0	391.5	0.641124	251	101-e-1.cpp	210-e-1.cpp
0	0	398.5	0.659975	263	101-e-1.cpp	210-e-2.cpp
0	0	315	0.428571	135	101-e-1.cpp	212-e-1.cpp
0	0	301	0.528239	159	101-e-1.cpp	212-e-2.cpp
0	0	315	0.428571	135	101-e-1.cpp	212-e-3.cpp
0	0	358.5	0.616457	221	101-e-1.cpp	217-e-1.c
0	0	359	0.612813	220	101-e-1.cpp	217-e-2.c
0	0	405	0.666667	270	101-e-1.cpp	217-e-3.c
0	0	324	0.490741	159	101-e-1.cpp	218-e-1.cpp
0	0	310.5	0.431562	134	101-e-1.cpp	220-e-1.cpp
0	0	348.5	0.619799	216	101-e-1.cpp	221-e-1.pas
0	0	380.5	0.670171	255	101-e-1.cpp	221-e-2.pas
0	0	360	0.638889	230	101-e-1.cpp	221-e-3.pas
0	0	419	0.797136	334	101-e-1.cpp	302-e-1.py
0	0	346	0.710983	246	101-e-1.cpp	302-e-2.py
0	0	342	0.710526	243	101-e-1.cpp	302-e-3.py
0	0	333	0.597598	199	101-e-1.cpp	303-e-1.pas
0	0	332.5	0.595489	198	101-e-1.cpp	303-e-2.pas
0	0	342.5	0.613139	210	101-e-1.cpp	303-e-3.pas
0	0	336.5	0.511144	172	101-e-1.cpp	304-e-1.java
0	0	332.5	0.541353	180	101-e-1.cpp	304-e-2.java
0	0	334.5	0.529148	177	101-e-1.cpp	304-e-3.java
0	0	332	0.48494	161	101-e-1.cpp	304-e-4.java
0	0	331.5	0.542986	180	101-e-1.cpp	304-e-5.java
0	0	331	0.625378	207	101-e-1.cpp	305-e-1.dpr
0	0	341	0.636364	217	101-e-1.cpp	305-e-2.dpr
0	0	341	0.636364	217	101-e-1.cpp	305-e-3.dpr
0	0	341.5	0.635432	217	101-e-1.cpp	305-e-4.dpr
0	0	341	0.636364	217	101-e-1.cpp	305-e-5.dpr
0	0	341	0.636364	217	101-e-1.cpp	305-e-6.dpr
0	0	341	0.639296	218	101-e-1.cpp	305-e-7.dpr
0	0	323.5	0.482226	156	101-e-1.cpp	306-e-1.cpp
0	0	259.5	0.620424	161	101-e-1.cpp	307-e-1.cpp
0	0	265.5	0.564972	150	101-e-1.cpp	307-e-2.cpp
0	0	559	1.06261	594	101-e-1.cpp	308-e-1.py
0	0	576	1.06424	613	101-e-1.cpp	308-e-2.py
0	0	560	1.06429	596	101-e-1.cpp	308-e-3.py
0	0	576	1.06424	613	101-e-1.cpp	308-e-4.py
0	0	306	0.663399	203	101-e-1.cpp	310-e-1.pas
0	0	370	0.72973	270	101-e-1.cpp	310-e-2.pas
0	0	388.5	0.772201	300	101-e-1.cpp	310-e-3.pas
0	0	390.5	0.773367	302	101-e-1.cpp	310-e-4.pas
0	0	390.5	0.768246	300	101-e-1.cpp	310-e-5.pas
0	0	391.5	0.776501	304	101-e-1.cpp	310-e-6.pas
0	0	391.5	0.776501	304	101-e-1.cpp	310-e-7.pas
0	0	396.5	0.786885	312	101-e-1.cpp	310-e-8.pas
0	0	391.5	0.776501	304	101-e-1.cpp	310-e-9.pas
0	0	387.5	0.714839	277	101-e-1.cpp	311-e-1.py
0	0	325.5	0.430108	140	101-e-1.cpp	401-e-1.cpp
0	0	412.5	0.792727	327	101-e-1.cpp	404-e-1.dpr
0	0	420.5	0.808561	340	101-e-1.cpp	404-e-2.dpr
0	0	372	0.725806	270	101-e-1.cpp	405-e-1.pas
0	0	378.5	0.73712	279	101-e-1.cpp	405-e-2.pas
0	0	371	0.716981	266	101-e-1.cpp	405-e-3.pas
0	0	375	0.722667	271	101-e-1.cpp	405-e-4.pas
0	0	341	0.58651	200	101-e-1.cpp	406-e-1.cpp
0	0	367	0.626703	230	101-e-1.cpp	406-e-2.cpp
0	0	331	0.549849	182	101-e-1.cpp	407-e-1.cpp
0	0	331	0.549849	182	101-e-1.cpp	407-e-2.cpp
0	0	440.5	0.790011	348	101-e-1.cpp	410-e-1.cpp
0	0	444.5	0.79865	355	101-e-1.cpp	410-e-2.cpp
0	0	451.5	0.812846	367	101-e-1.cpp	410-e-3.cpp
0	0	411.5	0.72661	299	101-e-1.cpp	410-e-4.cpp
0	0	416.5	0.737095	307	101-e-1.cpp	410-e-5.cpp
0	0	410.5	0.72838	299	101-e-1.cpp	410-e-6.cpp
0	0	411	0.725061	298	101-e-1.cpp	410-e-7.cpp
0	0	449	0.808463	363	101-e-1.cpp	410-e-8.cpp
0	0	334	0.44012	147	101-e-1.cpp	413-e-1.cpp
0	0	392	0.670918	263	101-e-1.cpp	414-e-1.cpp
0	0	415	0.715663	297	101-e-1.cpp	414-e-2.cpp
0	0	392	0.767857	301	101-e-1.cpp	417-e-1.py
0	0	391.5	0.763729	299	101-e-1.cpp	417-e-2.py
0	0	412	0.798544	329	101-e-1.cpp	417-e-3.py
0	0	406	0.785714	319	101-e-1.cpp	417-e-4.py
0	0	406	0.783251	318	101-e-1.cpp	417-e-5.py
0	0	349	0.633238	221	101-e-1.cpp	419-e-1.dpr
0	0	356	0.640449	228	101-e-1.cpp	419-e-2.dpr
0	0	356.5	0.645161	230	101-e-1.cpp	419-e-3.dpr
0	0	356.5	0.645161	230	101-e-1.cpp	419-e-4.dpr
0	0	333	0.324324	108	101-e-1.cpp	421-e-1.cpp
0	0	329	0.306991	101	101-e-1.cpp	421-e-2.cpp
0	0	334.5	0.325859	109	101-e-1.cpp	421-e-3.cpp
0	0	373	0.616622	230	101-e-1.cpp	421-e-4.py
0	0	367	0.59673	219	101-e-1.cpp	421-e-5.py
0	0	587	1.02385	601	101-e-1.cpp	422-e-1.c
0	0	385.5	0.700389	270	101-e-1.cpp	423-e-1.dpr
0	0	386	0.696891	269	101-e-1.cpp	423-e-2.dpr
0	0	431.5	0.822711	355	101-e-1.cpp	424-e-1.dpr
0	0	431.5	0.822711	355	101-e-1.cpp	424-e-2.dpr
0	0	431.5	0.822711	355	101-e-1.cpp	424-e-3.dpr
0	0	450.5	0.856826	386	101-e-1.cpp	424-e-4.dpr
0	0	448.5	0.853958	383	101-e-1.cpp	424-e-5.dpr
0	0	458.5	0.868048	398	101-e-1.cpp	424-e-6.dpr
0	0	463.5	0.878101	407	101-e-1.cpp	424-e-7.dpr
0	0	311.5	0.548957	171	101-e-1.cpp	501-e-1.cpp
0	0	362	0.69337	251	101-e-1.cpp	504-e-1.pas
0	0	362	0.69337	251	101-e-1.cpp	504-e-2.pas
0	0	361.5	0.694329	251	101-e-1.cpp	504-e-3.pas
0	0	361.5	0.691563	250	101-e-1.cpp	504-e-4.pas
0	0	394.5	0.742712	293	101-e-1.cpp	504-e-5.pas
0	0	428.5	0.812135	348	101-e-1.cpp	504-e-6.pas
0	0	394.5	0.742712	293	101-e-1.cpp	504-e-7.pas
0	0	411.5	0.777643	320	101-e-1.cpp	504-e-8.pas
0	0	326	0.628834	205	101-e-1.cpp	509-e-1.java
0	0	420	0.780952	328	101-e-1.cpp	509-e-2.java
0	0	423	0.799054	338	101-e-1.cpp	509-e-3.java
0	0	437	0.812357	355	101-e-1.cpp	513-e-1.cpp
0	0	435	0.822989	358	101-e-1.cpp	513-e-2.cpp
0	0	437	0.828375	362	101-e-1.cpp	513-e-3.cpp
0	0	456.5	0.852136	389	101-e-1.cpp	513-e-4.cpp
0	0	350.5	0.562054	197	101-e-1.cpp	514-e-1.cpp
0	0	329.5	0.622155	205	101-e-1.cpp	517-e-1.cpp
0	0	338	0.579882	196	101-e-1.cpp	517-e-2.cpp
0	0	394.5	0.697085	275	101-e-1.cpp	517-e-3.cpp
0	0	394.5	0.69455	274	101-e-1.cpp	517-e-4.cpp
0	0	394.5	0.69455	274	101-e-1.cpp	517-e-5.cpp
0	0	406.5	0.715867	291	101-e-1.cpp	517-e-6.cpp
0	0	433.5	0.758939	329	101-e-1.cpp	518-e-1.cpp
0	0	439	0.722096	317	101-e-1.cpp	518-e-2.cpp
0	0	349	0.507163	177	101-e-1.cpp	518-e-3.cpp
0	0	308	0.418831	129	101-e-1.cpp	518-e-4.cpp
0	0	393.5	0.673443	265	101-e-1.cpp	519-e-1.cpp
0	0	476.5	0.835257	398	101-e-1.cpp	519-e-2.cpp
0	0	318.5	0.455259	145	101-e-1.cpp	601-e-1.cpp
0	0	347.5	0.509353	177	101-e-1.cpp	601-e-2.cpp
0	0	308	0.474026	146	101-e-1.cpp	601-e-3.cpp
0	0	346.5	0.507937	176	101-e-1.cpp	601-e-4.cpp
0	0	352	0.332386	117	101-e-1.cpp	601-e-5.cpp
0	0	333	0.645646	215	101-e-1.cpp	602-e-1.pas
0	0	333	0.645646	215	101-e-1.cpp	602-e-2.pas
0	0	333	0.645646	215	101-e-1.cpp	602-e-3.pas
0	0	435	0.783908	341	101-e-1.cpp	603-e-1.java
0	0	427.5	0.74386	318	101-e-1.cpp	603-e-10.java
0	0	426	0.765258	326	101-e-1.cpp	603-e-2.java
0	0	426	0.765258	326	101-e-1.cpp	603-e-3.java
0	0	444	0.795045	353	101-e-1.cpp	603-e-4.java
0	0	359.5	0.628651	226	101-e-1.cpp	603-e-5.java
0	0	405.5	0.737361	299	101-e-1.cpp	603-e-6.java
0	0	404.5	0.684796	277	101-e-1.cpp	603-e-7.java
0	0	452	0.820796	371	101-e-1.cpp	603-e-8.java
0	0	453	0.821192	372	101-e-1.cpp	603-e-9.java
0	0	338	0.470414	159	101-e-1.cpp	606-e-1.cpp
0	0	306	0.526144	161	101-e-1.cpp	guest-e-1.cpp
0	0	303.5	0.533773	162	101-e-1.cpp	guest-e-2.cpp
0	0	317.5	0.469291	149	101-e-1.cpp	guest-e-4.cpp
0	0	317.5	0.469291	149	101-e-1.cpp	guest-e-5.cpp
1	1	390.5	0.0230474	9	102-e-1.cs	102-e-2.cs
1	1	390.5	0.0230474	9	102-e-1.cs	102-e-3.cs
1	1	388	0.0103093	4	102-e-1.cs	102-e-4.cs
0	0	336	0.669643	225	102-e-1.cs	104-e-1.cpp
0	0	350	0.631429	221	102-e-1.cs	104-e-2.cpp
0	0	381.5	0.608126	232	102-e-1.cs	104-e-3.cpp
0	0	366.5	0.624829	229	102-e-1.cs	104-e-4.cpp
0	0	380.5	0.612352	233	102-e-1.cs	104-e-5.cpp
0	0	357	0.658263	235	102-e-1.cs	106-e-1.cpp
0	0	384	0.611979	235	102-e-1.cs	106-e-2.cpp
0	0	384	0.611979	235	102-e-1.cs	106-e-3.cpp
0	0	326.5	0.74732	244	102-e-1.cs	107-e-1.cpp
0	0	433.5	0.673587	292	102-e-1.cs	109-e-1.cpp
0	0	437.5	0.676571	296	102-e-1.cs	109-e-2.cpp
0	0	466	0.718884	335	102-e-1.cs	109-e-3.cpp
0	0	477.5	0.699476	334	102-e-1.cs	109-e-4.java
0	0	477.5	0.697382	333	102-e-1.cs	109-e-5.java
0	0	481	0.704782	339	102-e-1.cs	109-e-6.java
0	0	449	0.521158	234	102-e-1.cs	110-e-1.cs
0	0	457	0.527352	241	102-e-1.cs	110-e-2.cs
0	0	424	0.634434	269	102-e-1.cs	112-e-1.cpp
0	0	410	0.639024	262	102-e-1.cs	112-e-2.cpp
0	0	434	0.668203	290	102-e-1.cs	112-e-3.cpp
0	0	494.5	0.758342	375	102-e-1.cs	113-e-1.cpp
0	0	495.5	0.760848	377	102-e-1.cs	113-e-2.cpp
0	0	449.5	0.69188	311	102-e-1.cs	113-e-3.cpp
0	0	405.5	0.601726	244	102-e-1.cs	113-e-4.cpp
0	0	410	0.607317	249	102-e-1.cs	113-e-5.cpp
0	0	414.5	0.612786	254	102-e-1.cs	113-e-6.cpp
0	0	497	0.7666	381	102-e-1.cs	113-e-7.cpp
0	0	513.5	0.790652	406	102-e-1.cs	113-e-8.cpp
0	0	577.5	0.777489	449	102-e-1.cs	114-e-1.java
0	0	467	0.678801	317	102-e-1.cs	114-e-10.cpp
0	0	471.5	0.685048	323	102-e-1.cs	114-e-11.cpp
0	0	457	0.665208	304	102-e-1.cs	114-e-12.cpp
0	0	554.5	0.732191	406	102-e-1.cs	114-e-2.java
0	0	555.5	0.734473	408	102-e-1.cs	114-e-3.java
0	0	585.5	0.797609	467	102-e-1.cs	114-e-4.java
0	0	587.5	0.801702	471	102-e-1.cs	114-e-5.java
0	0	620.5	0.855761	531	102-e-1.cs	114-e-6.java
0	0	562.5	0.741333	417	102-e-1.cs	114-e-7.java
0	0	571.5	0.757655	433	102-e-1.cs	114-e-8.java
0	0	571.5	0.757655	433	102-e-1.cs	114-e-9.java
0	0	488.5	0.751279	367	102-e-1.cs	116-e-1.cpp
0	0	441	0.630385	278	102-e-1.cs	203-e-1.java
0	0	405	0.575309	233	102-e-1.cs	203-e-2.java
0	0	414.5	0.586248	243	102-e-1.cs	203-e-3.java
0	0	432	0.634259	274	102-e-1.cs	206-e-1.cpp
0	0	432.5	0.633526	274	102-e-1.cs	206-e-2.cpp
0	0	422	0.620853	262	102-e-1.cs	207-e-1.dpr
0	0	422.5	0.622485	263	102-e-1.cs	207-e-2.dpr
0	0	425	0.604706	257	102-e-1.cs	210-e-1.cpp
0	0	432	0.611111	264	102-e-1.cs	210-e-2.cpp
0	0	348.5	0.691535	241	102-e-1.cs	212-e-1.cpp
0	0	334.5	0.747384	250	102-e-1.cs	212-e-2.cpp
0	0	348.5	0.691535	241	102-e-1.cs	212-e-3.cpp
0	0	392	0.602041	236	102-e-1.cs	217-e-1.c
0	0	392.5	0.596178	234	102-e-1.cs	217-e-2.c
0	0	438.5	0.649943	285	102-e-1.cs	217-e-3.c
0	0	357.5	0.651748	233	102-e-1.cs	218-e-1.cpp
0	0	344	0.639535	220	102-e-1.cs	220-e-1.cpp
0	0	382	0.596859	228	102-e-1.cs	221-e-1.pas
0	0	414	0.611111	253	102-e-1.cs	221-e-2.pas
0	0	393.5	0.587039	231	102-e-1.cs	221-e-3.pas
0	0	452.5	0.678453	307	102-e-1.cs	302-e-1.py
0	0	379.5	0.600791	228	102-e-1.cs	302-e-2.py
0	0	375.5	0.612517	230	102-e-1.cs	302-e-3.py
0	0	366.5	0.597544	219	102-e-1.cs	303-e-1.pas
0	0	366	0.595628	218	102-e-1.cs	303-e-2.pas
0	0	376	0.603723	227	102-e-1.cs	303-e-3.pas
0	0	370	0.521622	193	102-e-1.cs	304-e-1.java
0	0	366	0.530055	194	102-e-1.cs	304-e-2.java
0	0	368	0.521739	192	102-e-1.cs	304-e-3.java
0	0	365.5	0.5171	189	102-e-1.cs	304-e-4.java
0	0	365	0.528767	193	102-e-1.cs	304-e-5.java
0	0	364.5	0.592593	216	102-e-1.cs	305-e-1.dpr
0	0	374.5	0.59012	221	102-e-1.cs	305-e-2.dpr
0	0	374.5	0.59012	221	102-e-1.cs	305-e-3.dpr
0	0	375	0.589333	221	102-e-1.cs	305-e-4.dpr
0	0	374.5	0.59012	221	102-e-1.cs	305-e-5.dpr
0	0	374.5	0.59012	221	102-e-1.cs	305-e-6.dpr
0	0	374.5	0.59012	221	102-e-1.cs	305-e-7.dpr
0	0	357	0.672269	240	102-e-1.cs	306-e-1.cpp
0	0	293	0.836177	245	102-e-1.cs	307-e-1.cpp
0	0	299	0.802676	240	102-e-1.cs	307-e-2.cpp
0	0	592.5	0.919831	545	102-e-1.cs	308-e-1.py
0	0	609.5	0.933552	569	102-e-1.cs	308-e-2.py
0	0	593.5	0.921651	547	102-e-1.cs	308-e-3.py
0	0	609.5	0.933552	569	102-e-1.cs	308-e-4.py
0	0	339.5	0.66863	227	102-e-1.cs	310-e-1.pas
0	0	403.5	0.634449	256	102-e-1.cs	310-e-2.pas
0	0	422	0.646919	273	102-e-1.cs	310-e-3.pas
0	0	424	0.650943	276	102-e-1.cs	310-e-4.pas
0	0	424	0.641509	272	102-e-1.cs	310-e-5.pas
0	0	425	0.644706	274	102-e-1.cs	310-e-6.pas
0	0	425	0.647059	275	102-e-1.cs	310-e-7.pas
0	0	430	0.655814	282	102-e-1.cs	310-e-8.pas
0	0	425	0.647059	275	102-e-1.cs	310-e-9.pas
0	0	421	0.627078	264	102-e-1.cs	311-e-1.py
0	0	359	0.54039	194	102-e-1.cs	401-e-1.cpp
0	0	446	0.663677	296	102-e-1.cs	404-e-1.dpr
0	0	454	0.674009	306	102-e-1.cs	404-e-2.dpr
0	0	405.5	0.614057	249	102-e-1.cs	405-e-1.pas
0	0	412	0.616505	254	102-e-1.cs	405-e-2.pas
0	0	404.5	0.618047	250	102-e-1.cs	405-e-3.pas
0	0	408.5	0.621787	254	102-e-1.cs	405-e-4.pas
0	0	374.5	0.638184	239	102-e-1.cs	406-e-1.cpp
0	0	400.5	0.611735	245	102-e-1.cs	406-e-2.cpp
0	0	364.5	0.628258	229	102-e-1.cs	407-e-1.cpp
0	0	364.5	0.628258	229	102-e-1.cs	407-e-2.cpp
0	0	474	0.706751	335	102-e-1.cs	410-e-1.cpp
0	0	478	0.717573	343	102-e-1.cs	410-e-2.cpp
0	0	485	0.727835	353	102-e-1.cs	410-e-3.cpp
0	0	445	0.667416	297	102-e-1.cs	410-e-4.cpp
0	0	450	0.666667	300	102-e-1.cs	410-e-5.cpp
0	0	444	0.666667	296	102-e-1.cs	410-e-6.cpp
0	0	444.5	0.668166	297	102-e-1.cs	410-e-7.cpp
0	0	482.5	0.723316	349	102-e-1.cs	410-e-8.cpp
0	0	367.5	0.606803	223	102-e-1.cs	413-e-1.cpp
0	0	425.5	0.650999	277	102-e-1.cs	414-e-1.cpp
0	0	448.5	0.680045	305	102-e-1.cs	414-e-2.cpp
0	0	425.5	0.641598	273	102-e-1.cs	417-e-1.py
0	0	425	0.64	272	102-e-1.cs	417-e-2.py
0	0	445.5	0.666667	297	102-e-1.cs	417-e-3.py
0	0	439.5	0.65529	288	102-e-1.cs	417-e-4.py
0	0	439.5	0.657565	289	102-e-1.cs	417-e-5.py
0	0	382.5	0.577778	221	102-e-1.cs	419-e-1.dpr
0	0	389.5	0.567394	221	102-e-1.cs	419-e-2.dpr
