Ans	Guess	Size	DistRatio	Dist	I	J
0	0	383	0.597911	229	101-h-1.py	102-h-1.cs
0	0	339	0.501475	170	101-h-1.py	104-h-1.py
0	0	343	0.48688	167	101-h-1.py	104-h-2.py
0	0	315.5	0.690967	218	101-h-1.py	106-h-1.cpp
0	0	328.5	0.65449	215	101-h-1.py	107-h-1.cpp
0	0	480	0.714583	343	101-h-1.py	109-h-1.cpp
0	0	332	0.596386	198	101-h-1.py	110-h-1.cs
0	0	332	0.596386	198	101-h-1.py	110-h-2.cs
0	0	350	0.591429	207	101-h-1.py	110-h-3.cs
0	0	368.5	0.575305	212	101-h-1.py	110-h-4.cs
0	0	371	0.576819	214	101-h-1.py	110-h-5.cs
0	0	428.5	0.625438	268	101-h-1.py	114-h-1.java
0	0	424.5	0.588928	250	101-h-1.py	116-h-1.py
0	0	564.5	0.81488	460	101-h-1.py	116-h-2.py
0	0	355	0.639437	227	101-h-1.py	202-h-1.cpp
0	0	356	0.640449	228	101-h-1.py	202-h-2.cpp
0	0	356	0.640449	228	101-h-1.py	202-h-3.cpp
0	0	356	0.640449	228	101-h-1.py	202-h-4.cpp
0	0	481.5	0.706127	340	101-h-1.py	203-h-1.java
0	0	462	0.720779	333	101-h-1.py	206-h-1.cpp
0	0	607	0.942339	572	101-h-1.py	206-h-2.cpp
0	0	608	0.944079	574	101-h-1.py	206-h-3.cpp
0	0	451.5	0.706534	319	101-h-1.py	206-h-4.cpp
0	0	270.5	0.883549	239	101-h-1.py	208-h-1.cs
0	0	276	0.858696	237	101-h-1.py	208-h-2.cs
0	0	376	0.630319	237	101-h-1.py	210-h-1.cpp
0	0	496	0.768145	381	101-h-1.py	210-h-2.cpp
0	0	496	0.768145	381	101-h-1.py	210-h-3.cpp
0	0	499.5	0.776777	388	101-h-1.py	210-h-4.cpp
0	0	498	0.773092	385	101-h-1.py	210-h-5.cpp
0	0	498	0.773092	385	101-h-1.py	210-h-6.cpp
0	0	474	0.729958	346	101-h-1.py	210-h-7.cpp
0	0	334	0.646707	216	101-h-1.py	212-h-1.cpp
0	0	336.5	0.618128	208	101-h-1.py	218-h-1.cpp
0	0	349.5	0.606581	212	101-h-1.py	218-h-2.cpp
0	0	339	0.651917	221	101-h-1.py	220-h-1.cpp
0	0	409.5	0.612943	251	101-h-1.py	302-h-1.java
0	0	469	0.744136	349	101-h-1.py	303-h-1.pas
0	0	428.5	0.679113	291	101-h-1.py	303-h-2.pas
0	0	487.5	0.785641	383	101-h-1.py	303-h-3.pas
0	0	324.5	0.637904	207	101-h-1.py	304-h-1.java
0	0	327.5	0.625954	205	101-h-1.py	304-h-2.java
0	0	295.5	0.778342	230	101-h-1.py	305-h-1.cpp
0	0	295.5	0.778342	230	101-h-1.py	305-h-2.cpp
0	0	295.5	0.778342	230	101-h-1.py	305-h-3.cpp
0	0	295.5	0.778342	230	101-h-1.py	305-h-4.cpp
0	0	314	0.703822	221	101-h-1.py	305-h-5.cpp
0	0	339.5	0.633284	215	101-h-1.py	305-h-6.cpp
0	0	339.5	0.633284	215	101-h-1.py	305-h-7.cpp
0	0	339.5	0.633284	215	101-h-1.py	305-h-8.cpp
0	0	339	0.637168	216	101-h-1.py	305-h-9.cpp
0	0	452.5	0.649724	294	101-h-1.py	306-h-1.cpp
0	0	452.5	0.649724	294	101-h-1.py	306-h-2.cpp
0	0	452.5	0.649724	294	101-h-1.py	306-h-3.cpp
0	0	471	0.690021	325	101-h-1.py	306-h-4.cpp
0	0	396	0.611111	242	101-h-1.py	306-h-5.cpp
0	0	400.5	0.621723	249	101-h-1.py	306-h-6.cpp
0	0	328	0.646341	212	101-h-1.py	307-h-1.cpp
0	0	303	0.666667	202	101-h-1.py	308-h-1.py
0	0	391.5	0.457216	179	101-h-1.py	311-h-1.py
0	0	310.5	0.711755	221	101-h-1.py	401-h-1.cpp
0	0	470	0.776596	365	101-h-1.py	404-h-1.dpr
0	0	471.5	0.780488	368	101-h-1.py	404-h-2.dpr
0	0	473	0.784355	371	101-h-1.py	404-h-3.dpr
0	0	471.5	0.780488	368	101-h-1.py	404-h-4.dpr
0	0	385	0.620779	239	101-h-1.py	407-h-1.cpp
0	0	412.5	0.652121	269	101-h-1.py	409-h-1.dpr
0	0	433	0.692841	300	101-h-1.py	409-h-2.dpr
0	0	436.5	0.696449	304	101-h-1.py	409-h-3.dpr
0	0	437.5	0.699429	306	101-h-1.py	409-h-4.dpr
0	0	425.5	0.676851	288	101-h-1.py	413-h-1.cpp
0	0	425.5	0.676851	288	101-h-1.py	413-h-2.cpp
0	0	427	0.714286	305	101-h-1.py	414-h-1.cpp
0	0	446.5	0.669653	299	101-h-1.py	417-h-1.py
0	0	367	0.474114	174	101-h-1.py	421-h-1.py
0	0	329	0.604863	199	101-h-1.py	423-h-1.dpr
0	0	329	0.604863	199	101-h-1.py	423-h-2.dpr
0	0	457.5	0.734426	336	101-h-1.py	424-h-1.dpr
0	0	313.5	0.688995	216	101-h-1.py	501-h-1.cpp
0	0	503.5	0.802383	404	101-h-1.py	504-h-1.pas
0	0	523	0.837476	438	101-h-1.py	504-h-2.pas
0	0	508	0.73622	374	101-h-1.py	507-h-1.py
0	0	409.5	0.669109	274	101-h-1.py	509-h-1.java
0	0	429.5	0.67986	292	101-h-1.py	509-h-2.java
0	0	712.5	1.09754	782	101-h-1.py	512-h-1.pas
0	0	713	1.09818	783	101-h-1.py	512-h-2.pas
0	0	333	0.525526	175	101-h-1.py	513-h-1.py
0	0	351.5	0.623044	219	101-h-1.py	514-h-1.cpp
0	0	369	0.593496	219	101-h-1.py	515-h-1.py
0	0	339	0.480826	163	101-h-1.py	518-h-1.py
0	0	384.5	0.585176	225	101-h-1.py	524-h-1.cs
0	0	308.5	0.677472	209	101-h-1.py	601-h-1.cpp
0	0	567	0.858907	487	101-h-1.py	603-h-1.java
0	0	375.5	0.596538	224	101-h-1.py	605-h-1.c
0	0	352	0.653409	230	101-h-1.py	605-h-10.c
0	0	352	0.653409	230	101-h-1.py	605-h-11.c
0	0	374.5	0.595461	223	101-h-1.py	605-h-2.c
0	0	374.5	0.595461	223	101-h-1.py	605-h-3.c
0	0	374.5	0.595461	223	101-h-1.py	605-h-4.c
0	0	375.5	0.596538	224	101-h-1.py	605-h-5.c
0	0	375.5	0.596538	224	101-h-1.py	605-h-6.c
0	0	375.5	0.596538	224	101-h-1.py	605-h-7.c
0	0	376	0.598404	225	101-h-1.py	605-h-8.c
0	0	352	0.653409	230	101-h-1.py	605-h-9.c
0	0	313.5	0.647528	203	101-h-1.py	606-h-1.cpp
0	0	312	0.733974	229	101-h-1.py	guest-h-1.cpp
0	0	316	0.731013	231	101-h-1.py	guest-h-2.cpp
0	0	321.5	0.715397	230	101-h-1.py	guest-h-3.cpp
0	0	360	0.619444	223	102-h-1.cs	104-h-1.py
0	0	364	0.60989	222	102-h-1.cs	104-h-2.py
0	0	336.5	0.719168	242	102-h-1.cs	106-h-1.cpp
0	0	349.5	0.658083	230	102-h-1.cs	107-h-1.cpp
0	0	501	0.710579	356	102-h-1.cs	109-h-1.cpp
0	0	353	0.538244	190	102-h-1.cs	110-h-1.cs
0	0	353	0.538244	190	102-h-1.cs	110-h-2.cs
0	0	371	0.549865	204	102-h-1.cs	110-h-3.cs
0	0	389.5	0.534018	208	102-h-1.cs	110-h-4.cs
