Ans	Guess	Size	DistRatio	Dist	I	J
0	0	370.5	0.782726	290	107-j-1.cpp	109-j-1.cpp
0	0	371	0.784367	291	107-j-1.cpp	109-j-2.cpp
0	0	400	0.6975	279	107-j-1.cpp	109-j-3.cpp
0	0	406.5	0.678967	276	107-j-1.cpp	109-j-4.cpp
0	0	375	0.826667	310	107-j-1.cpp	112-j-1.cpp
0	0	373	0.83378	311	107-j-1.cpp	112-j-2.cpp
0	0	418	0.669856	280	107-j-1.cpp	114-j-1.java
0	0	422	0.665877	281	107-j-1.cpp	114-j-2.java
0	0	422	0.665877	281	107-j-1.cpp	114-j-3.java
0	0	405.5	0.690506	280	107-j-1.cpp	114-j-4.java
0	0	402.5	0.690683	278	107-j-1.cpp	114-j-5.java
0	0	411	0.673966	277	107-j-1.cpp	203-j-1.java
0	0	369.5	0.833559	308	107-j-1.cpp	206-j-1.cpp
0	0	316	1.10759	350	107-j-1.cpp	207-j-1.dpr
0	0	325	1.05231	342	107-j-1.cpp	207-j-2.dpr
0	0	336	0.994048	334	107-j-1.cpp	210-j-1.cpp
0	0	340.5	0.9721	331	107-j-1.cpp	210-j-2.cpp
0	0	393.5	0.719187	283	107-j-1.cpp	210-j-3.cpp
0	0	395.5	0.710493	281	107-j-1.cpp	210-j-4.cpp
0	0	388.5	0.712999	277	107-j-1.cpp	218-j-1.cpp
0	0	376.5	0.756972	285	107-j-1.cpp	218-j-2.cpp
0	0	390.5	0.709347	277	107-j-1.cpp	218-j-3.cpp
0	0	376.5	0.756972	285	107-j-1.cpp	218-j-4.cpp
0	0	330.5	1.01967	337	107-j-1.cpp	220-j-1.cpp
0	0	333	1.01502	338	107-j-1.cpp	221-j-1.pas
0	0	473.5	0.610348	289	107-j-1.cpp	302-j-1.java
0	0	479	0.611691	293	107-j-1.cpp	302-j-2.java
0	0	385.5	0.741894	286	107-j-1.cpp	304-j-1.java
0	0	387	0.741602	287	107-j-1.cpp	304-j-2.java
0	0	394.5	0.719899	284	107-j-1.cpp	304-j-3.java
0	0	397	0.712846	283	107-j-1.cpp	304-j-4.java
0	0	397	0.710327	282	107-j-1.cpp	304-j-5.java
0	0	321	1.05919	340	107-j-1.cpp	307-j-1.cpp
0	0	345	0.898551	310	107-j-1.cpp	307-j-2.cpp
0	0	346	0.893064	309	107-j-1.cpp	307-j-3.cpp
0	0	344	0.898256	309	107-j-1.cpp	307-j-4.cpp
