Ans	Guess	Size	DistRatio	Dist	I	J
1	1	799.5	0.203877	163	107-k-1.cpp	107-k-2.cpp
0	0	712	0.606742	432	107-k-1.cpp	109-k-1.java
0	0	1189	0.936081	1113	107-k-1.cpp	212-k-1.cpp
0	0	986	0.755578	745	107-k-1.cpp	212-k-10.cpp
0	0	982	0.750509	737	107-k-1.cpp	212-k-11.cpp
0	0	1189	0.936081	1113	107-k-1.cpp	212-k-2.cpp
0	0	1045.5	0.808226	845	107-k-1.cpp	212-k-3.cpp
0	0	1047	0.808023	846	107-k-1.cpp	212-k-4.cpp
0	0	1045	0.805742	842	107-k-1.cpp	212-k-5.cpp
0	0	1009.5	0.781575	789	107-k-1.cpp	212-k-6.cpp
0	0	1009.5	0.781575	789	107-k-1.cpp	212-k-7.cpp
0	0	1029.5	0.802331	826	107-k-1.cpp	212-k-8.cpp
0	0	1029.5	0.802331	826	107-k-1.cpp	212-k-9.cpp
0	0	361.5	1.9751	714	107-k-1.cpp	304-k-1.java
0	0	397.5	1.65283	657	107-k-1.cpp	304-k-2.java
0	0	506	1.04743	530	107-k-1.cpp	518-k-1.cpp
0	0	1071.5	0.80168	859	107-k-1.cpp	518-k-2.cpp
0	0	1073.5	0.802981	862	107-k-1.cpp	518-k-3.cpp
0	0	1090	0.818349	892	107-k-1.cpp	518-k-4.cpp
0	0	1183	0.965342	1142	109-k-1.java	212-k-1.cpp
0	0	980	0.80102	785	109-k-1.java	212-k-10.cpp
0	0	976	0.796107	777	109-k-1.java	212-k-11.cpp
0	0	1183	0.965342	1142	109-k-1.java	212-k-2.cpp
0	0	1039.5	0.856181	890	109-k-1.java	212-k-3.cpp
0	0	1041	0.857829	893	109-k-1.java	212-k-4.cpp
0	0	1039	0.85563	889	109-k-1.java	212-k-5.cpp
0	0	1003.5	0.827105	830	109-k-1.java	212-k-6.cpp
0	0	1003.5	0.827105	830	109-k-1.java	212-k-7.cpp
0	0	1023.5	0.841231	861	109-k-1.java	212-k-8.cpp
0	0	1023.5	0.841231	861	109-k-1.java	212-k-9.cpp
0	0	355.5	1.97468	702	109-k-1.java	304-k-1.java
0	0	391.5	1.61941	634	109-k-1.java	304-k-2.java
0	0	500	0.994	497	109-k-1.java	518-k-1.cpp
0	0	1065.5	0.889723	948	109-k-1.java	518-k-2.cpp
0	0	1067.5	0.89274	953	109-k-1.java	518-k-3.cpp
0	0	1084	0.903137	979	109-k-1.java	518-k-4.cpp
1	1	1457	0.331503	483	212-k-1.cpp	212-k-10.cpp
1	1	1453	0.337922	491	212-k-1.cpp	212-k-11.cpp
1	1	1660	0	0	212-k-1.cpp	212-k-2.cpp
1	1	1516.5	0.197165	299	212-k-1.cpp	212-k-3.cpp
1	1	1518	0.198946	302	212-k-1.cpp	212-k-4.cpp
1	1	1516	0.201847	306	212-k-1.cpp	212-k-5.cpp
1	1	1480.5	0.280986	416	212-k-1.cpp	212-k-6.cpp
1	1	1480.5	0.280986	416	212-k-1.cpp	212-k-7.cpp
1	1	1500.5	0.280573	421	212-k-1.cpp	212-k-8.cpp
1	1	1500.5	0.280573	421	212-k-1.cpp	212-k-9.cpp
0	0	832.5	1.98919	1656	212-k-1.cpp	304-k-1.java
0	0	868.5	1.83995	1598	212-k-1.cpp	304-k-2.java
0	0	977	1.45445	1421	212-k-1.cpp	518-k-1.cpp
0	0	1542.5	0.676823	1044	212-k-1.cpp	518-k-2.cpp
0	0	1544.5	0.677889	1047	212-k-1.cpp	518-k-3.cpp
0	0	1561	0.668802	1044	212-k-1.cpp	518-k-4.cpp
0	0	41	1.82927	75	304-k-1.java	304-k-2.java
0	0	149.5	1.9398	290	304-k-1.java	518-k-1.cpp
0	0	715	1.98741	1421	304-k-1.java	518-k-2.cpp
0	0	717	1.98745	1425	304-k-1.java	518-k-3.cpp
0	0	733.5	1.98773	1458	304-k-1.java	518-k-4.cpp
0	0	185.5	1.29919	241	304-k-2.java	518-k-1.cpp
0	0	751	1.80692	1357	304-k-2.java	518-k-2.cpp
0	0	753	1.80744	1361	304-k-2.java	518-k-3.cpp
0	0	769.5	1.81157	1394	304-k-2.java	518-k-4.cpp
0	0	859.5	1.38104	1187	518-k-1.cpp	518-k-2.cpp
0	0	861.5	1.38363	1192	518-k-1.cpp	518-k-3.cpp
0	0	878	1.39522	1225	518-k-1.cpp	518-k-4.cpp
1	1	1427	0.00560617	8	518-k-2.cpp	518-k-3.cpp
1	1	1443.5	0.0284032	41	518-k-2.cpp	518-k-4.cpp
